,_id,Month,Year,Rainfall,WPI
636e31e60e86372d005b54fe,636e31e60e86372d005b54fe,4,2012,47.5,97.1
636e31e60e86372d005b54ff,636e31e60e86372d005b54ff,5,2012,31.7,99.7
636e31e60e86372d005b5500,636e31e60e86372d005b5500,6,2012,117.8,101.6
636e31e60e86372d005b5501,636e31e60e86372d005b5501,7,2012,250.2,108.6
636e31e60e86372d005b5502,636e31e60e86372d005b5502,8,2012,262.4,115.6
636e31e60e86372d005b5503,636e31e60e86372d005b5503,9,2012,193.5,118.6
636e31e60e86372d005b5504,636e31e60e86372d005b5504,10,2012,58.7,116.3
636e31e60e86372d005b5505,636e31e60e86372d005b5505,11,2012,30.7,114.4
636e31e60e86372d005b5506,636e31e60e86372d005b5506,12,2012,11.7,110.2
636e31e60e86372d005b5507,636e31e60e86372d005b5507,1,2013,11.3,109.1
636e31e60e86372d005b5508,636e31e60e86372d005b5508,2,2013,40.1,110.6
636e31e60e86372d005b5509,636e31e60e86372d005b5509,3,2013,15.7,116.3
636e31e60e86372d005b550a,636e31e60e86372d005b550a,4,2013,30.4,118.1
636e31e60e86372d005b550b,636e31e60e86372d005b550b,5,2013,57.8,118.2
636e31e60e86372d005b550c,636e31e60e86372d005b550c,6,2013,219.8,117.7
636e31e60e86372d005b550d,636e31e60e86372d005b550d,7,2013,310,116.5
636e31e60e86372d005b550e,636e31e60e86372d005b550e,8,2013,254.7,116.7
636e31e60e86372d005b550f,636e31e60e86372d005b550f,9,2013,152.7,117.2
636e31e60e86372d005b5510,636e31e60e86372d005b5510,10,2013,129.4,118.4
636e31e60e86372d005b5511,636e31e60e86372d005b5511,11,2013,14,119
636e31e60e86372d005b5512,636e31e60e86372d005b5512,12,2013,6.7,118.4
636e31e60e86372d005b5513,636e31e60e86372d005b5513,1,2014,19.2,118.1
636e31e60e86372d005b5514,636e31e60e86372d005b5514,2,2014,27.4,118.4
636e31e60e86372d005b5515,636e31e60e86372d005b5515,3,2014,36.1,119
636e31e60e86372d005b5516,636e31e60e86372d005b5516,4,2014,22.2,120.6
636e31e60e86372d005b5517,636e31e60e86372d005b5517,5,2014,72.9,121
636e31e60e86372d005b5518,636e31e60e86372d005b5518,6,2014,95.4,120.1
636e31e60e86372d005b5519,636e31e60e86372d005b5519,7,2014,261.2,122.2
636e31e60e86372d005b551a,636e31e60e86372d005b551a,8,2014,237.5,126.8
636e31e60e86372d005b551b,636e31e60e86372d005b551b,9,2014,188,126.5
636e31e60e86372d005b551c,636e31e60e86372d005b551c,10,2014,60.2,126.3
636e31e60e86372d005b551d,636e31e60e86372d005b551d,11,2014,14.4,127.7
636e31e60e86372d005b551e,636e31e60e86372d005b551e,12,2014,10.7,128.2
636e31e60e86372d005b551f,636e31e60e86372d005b551f,1,2015,17.4,134.3
636e31e60e86372d005b5520,636e31e60e86372d005b5520,2,2015,21,139.1
636e31e60e86372d005b5521,636e31e60e86372d005b5521,3,2015,62,144.8
636e31e60e86372d005b5522,636e31e60e86372d005b5522,4,2015,69.4,148.4
636e31e60e86372d005b5523,636e31e60e86372d005b5523,5,2015,53.8,157.3
636e31e60e86372d005b5524,636e31e60e86372d005b5524,6,2015,192.8,173.7
636e31e60e86372d005b5525,636e31e60e86372d005b5525,7,2015,242.4,174.8
636e31e60e86372d005b5526,636e31e60e86372d005b5526,8,2015,205.2,185.5
636e31e60e86372d005b5527,636e31e60e86372d005b5527,9,2015,131.8,196.9
636e31e60e86372d005b5528,636e31e60e86372d005b5528,10,2015,42.9,219
636e31e60e86372d005b5529,636e31e60e86372d005b5529,11,2015,39.4,217.1
636e31e60e86372d005b552a,636e31e60e86372d005b552a,12,2015,15,222.8
636e31e60e86372d005b552b,636e31e60e86372d005b552b,1,2016,19.3,215.8
636e31e60e86372d005b552c,636e31e60e86372d005b552c,2,2016,22.8,205.5
636e31e60e86372d005b552d,636e31e60e86372d005b552d,3,2016,27.6,201.2
636e31e60e86372d005b552e,636e31e60e86372d005b552e,4,2016,37.4,217.5
636e31e60e86372d005b552f,636e31e60e86372d005b552f,5,2016,62.6,216.8
636e31e60e86372d005b5530,636e31e60e86372d005b5530,6,2016,168.3,217.2
636e31e60e86372d005b5531,636e31e60e86372d005b5531,7,2016,289.1,215.1
636e31e60e86372d005b5532,636e31e60e86372d005b5532,8,2016,256.3,195
636e31e60e86372d005b5533,636e31e60e86372d005b5533,9,2016,171.9,184.6
636e31e60e86372d005b5534,636e31e60e86372d005b5534,10,2016,76.1,182.4
636e31e60e86372d005b5535,636e31e60e86372d005b5535,11,2016,29.7,178.9
636e31e60e86372d005b5536,636e31e60e86372d005b5536,12,2016,14.9,166
636e31e60e86372d005b5537,636e31e60e86372d005b5537,1,2017,19,140.7
636e31e60e86372d005b5538,636e31e60e86372d005b5538,2,2017,22.6,133.1
636e31e60e86372d005b5539,636e31e60e86372d005b5539,3,2017,27.8,126
636e31e60e86372d005b553a,636e31e60e86372d005b553a,4,2017,37.9,127.2
636e31e60e86372d005b553b,636e31e60e86372d005b553b,5,2017,62.4,121.6
636e31e60e86372d005b553c,636e31e60e86372d005b553c,6,2017,168.1,118.3
636e31e60e86372d005b553d,636e31e60e86372d005b553d,7,2017,289.3,114.1
636e31e60e86372d005b553e,636e31e60e86372d005b553e,8,2017,256.2,115.4
636e31e60e86372d005b553f,636e31e60e86372d005b553f,9,2017,171.5,118.4
636e31e60e86372d005b5540,636e31e60e86372d005b5540,10,2017,76.3,113.8
636e31e60e86372d005b5541,636e31e60e86372d005b5541,11,2017,29.9,111.6
636e31e60e86372d005b5542,636e31e60e86372d005b5542,12,2017,15,112.6
636e31e60e86372d005b5543,636e31e60e86372d005b5543,1,2018,19.2,114.9
636e31e60e86372d005b5544,636e31e60e86372d005b5544,2,2018,20.1,116.5
636e31e60e86372d005b5545,636e31e60e86372d005b5545,3,2018,27.1,116.6
636e31e60e86372d005b5546,636e31e60e86372d005b5546,4,2018,40.2,115.3
636e31e60e86372d005b5547,636e31e60e86372d005b5547,5,2018,62.7,115.9
636e31e60e86372d005b5548,636e31e60e86372d005b5548,6,2018,165,113.2
636e31e60e86372d005b5549,636e31e60e86372d005b5549,7,2018,286.3,111.2
636e31e60e86372d005b554a,636e31e60e86372d005b554a,8,2018,254.3,110.8
636e31e60e86372d005b554b,636e31e60e86372d005b554b,9,2018,171.9,110.8
636e31e60e86372d005b554c,636e31e60e86372d005b554c,10,2018,77.2,109.4
636e31e60e86372d005b554d,636e31e60e86372d005b554d,11,2018,28.1,114
636e31e60e86372d005b554e,636e31e60e86372d005b554e,12,2018,14.1,123.9
