,_id,Month,Year,Rainfall,WPI
63bc2847d226d0c57693c0f0,63bc2847d226d0c57693c0f0,4,2012,47.5,107.7
63bc2847d226d0c57693c0f1,63bc2847d226d0c57693c0f1,5,2012,31.7,109.3
63bc2847d226d0c57693c0f2,63bc2847d226d0c57693c0f2,6,2012,117.8,107
63bc2847d226d0c57693c0f3,63bc2847d226d0c57693c0f3,7,2012,250.2,113.9
63bc2847d226d0c57693c0f4,63bc2847d226d0c57693c0f4,8,2012,262.4,120.7
63bc2847d226d0c57693c0f5,63bc2847d226d0c57693c0f5,9,2012,193.5,121.7
63bc2847d226d0c57693c0f6,63bc2847d226d0c57693c0f6,10,2012,58.7,114.8
63bc2847d226d0c57693c0f7,63bc2847d226d0c57693c0f7,11,2012,30.7,120.4
63bc2847d226d0c57693c0f8,63bc2847d226d0c57693c0f8,12,2012,11.7,127.7
63bc2847d226d0c57693c0f9,63bc2847d226d0c57693c0f9,1,2013,11.3,131.6
63bc2847d226d0c57693c0fa,63bc2847d226d0c57693c0fa,2,2013,40.1,132.7
63bc2847d226d0c57693c0fb,63bc2847d226d0c57693c0fb,3,2013,15.7,132.5
63bc2847d226d0c57693c0fc,63bc2847d226d0c57693c0fc,4,2013,30.4,136.4
63bc2847d226d0c57693c0fd,63bc2847d226d0c57693c0fd,5,2013,57.8,137.6
63bc2847d226d0c57693c0fe,63bc2847d226d0c57693c0fe,6,2013,219.8,136.9
63bc2847d226d0c57693c0ff,63bc2847d226d0c57693c0ff,7,2013,310,135.3
63bc2847d226d0c57693c100,63bc2847d226d0c57693c100,8,2013,254.7,131
63bc2847d226d0c57693c101,63bc2847d226d0c57693c101,9,2013,152.7,130.9
63bc2847d226d0c57693c102,63bc2847d226d0c57693c102,10,2013,129.4,129.7
63bc2847d226d0c57693c103,63bc2847d226d0c57693c103,11,2013,14,129.5
63bc2847d226d0c57693c104,63bc2847d226d0c57693c104,12,2013,6.7,131.1
63bc2847d226d0c57693c105,63bc2847d226d0c57693c105,1,2014,19.2,132.3
63bc2847d226d0c57693c106,63bc2847d226d0c57693c106,2,2014,27.4,131.5
63bc2847d226d0c57693c107,63bc2847d226d0c57693c107,3,2014,36.1,133.6
63bc2847d226d0c57693c108,63bc2847d226d0c57693c108,4,2014,22.2,134.4
63bc2847d226d0c57693c109,63bc2847d226d0c57693c109,5,2014,72.9,134.6
63bc2847d226d0c57693c10a,63bc2847d226d0c57693c10a,6,2014,95.4,132.5
63bc2847d226d0c57693c10b,63bc2847d226d0c57693c10b,7,2014,261.2,134.4
63bc2847d226d0c57693c10c,63bc2847d226d0c57693c10c,8,2014,237.5,133.2
63bc2847d226d0c57693c10d,63bc2847d226d0c57693c10d,9,2014,188,133.9
63bc2847d226d0c57693c10e,63bc2847d226d0c57693c10e,10,2014,60.2,129.3
63bc2847d226d0c57693c10f,63bc2847d226d0c57693c10f,11,2014,14.4,125.6
63bc2847d226d0c57693c110,63bc2847d226d0c57693c110,12,2014,10.7,123.9
63bc2847d226d0c57693c111,63bc2847d226d0c57693c111,1,2015,17.4,125
63bc2847d226d0c57693c112,63bc2847d226d0c57693c112,2,2015,21,123.2
63bc2847d226d0c57693c113,63bc2847d226d0c57693c113,3,2015,62,124.8
63bc2847d226d0c57693c114,63bc2847d226d0c57693c114,4,2015,69.4,127.3
63bc2847d226d0c57693c115,63bc2847d226d0c57693c115,5,2015,53.8,126.7
63bc2847d226d0c57693c116,63bc2847d226d0c57693c116,6,2015,192.8,125.2
63bc2847d226d0c57693c117,63bc2847d226d0c57693c117,7,2015,242.4,124.3
63bc2847d226d0c57693c118,63bc2847d226d0c57693c118,8,2015,205.2,127.4
63bc2847d226d0c57693c119,63bc2847d226d0c57693c119,9,2015,131.8,132.2
63bc2847d226d0c57693c11a,63bc2847d226d0c57693c11a,10,2015,42.9,132.7
63bc2847d226d0c57693c11b,63bc2847d226d0c57693c11b,11,2015,39.4,135.3
63bc2847d226d0c57693c11c,63bc2847d226d0c57693c11c,12,2015,15,139.2
63bc2847d226d0c57693c11d,63bc2847d226d0c57693c11d,1,2016,19.3,142.9
63bc2847d226d0c57693c11e,63bc2847d226d0c57693c11e,2,2016,22.8,144.2
63bc2847d226d0c57693c11f,63bc2847d226d0c57693c11f,3,2016,27.6,147.7
63bc2847d226d0c57693c120,63bc2847d226d0c57693c120,4,2016,37.4,155.8
63bc2847d226d0c57693c121,63bc2847d226d0c57693c121,5,2016,62.6,162.6
63bc2847d226d0c57693c122,63bc2847d226d0c57693c122,6,2016,168.3,158.7
63bc2847d226d0c57693c123,63bc2847d226d0c57693c123,7,2016,289.1,159.6
63bc2847d226d0c57693c124,63bc2847d226d0c57693c124,8,2016,256.3,159.3
63bc2847d226d0c57693c125,63bc2847d226d0c57693c125,9,2016,171.9,155.1
63bc2847d226d0c57693c126,63bc2847d226d0c57693c126,10,2016,76.1,148.1
63bc2847d226d0c57693c127,63bc2847d226d0c57693c127,11,2016,29.7,151
63bc2847d226d0c57693c128,63bc2847d226d0c57693c128,12,2016,14.9,154.7
63bc2847d226d0c57693c129,63bc2847d226d0c57693c129,1,2017,19,151.9
63bc2847d226d0c57693c12a,63bc2847d226d0c57693c12a,2,2017,22.6,151.3
63bc2847d226d0c57693c12b,63bc2847d226d0c57693c12b,3,2017,27.8,152.6
63bc2847d226d0c57693c12c,63bc2847d226d0c57693c12c,4,2017,37.9,153.8
63bc2847d226d0c57693c12d,63bc2847d226d0c57693c12d,5,2017,62.4,153.2
63bc2847d226d0c57693c12e,63bc2847d226d0c57693c12e,6,2017,168.1,149.7
63bc2847d226d0c57693c12f,63bc2847d226d0c57693c12f,7,2017,289.3,145.4
63bc2847d226d0c57693c130,63bc2847d226d0c57693c130,8,2017,256.2,143.8
63bc2847d226d0c57693c131,63bc2847d226d0c57693c131,9,2017,171.5,139.4
63bc2847d226d0c57693c132,63bc2847d226d0c57693c132,10,2017,76.3,132.9
63bc2847d226d0c57693c133,63bc2847d226d0c57693c133,11,2017,29.9,130.2
63bc2847d226d0c57693c134,63bc2847d226d0c57693c134,12,2017,15,133.9
63bc2847d226d0c57693c135,63bc2847d226d0c57693c135,1,2018,19.2,131.7
63bc2847d226d0c57693c136,63bc2847d226d0c57693c136,2,2018,20.1,127.9
63bc2847d226d0c57693c137,63bc2847d226d0c57693c137,3,2018,27.1,126.8
63bc2847d226d0c57693c138,63bc2847d226d0c57693c138,4,2018,40.2,127
63bc2847d226d0c57693c139,63bc2847d226d0c57693c139,5,2018,62.7,128.1
63bc2847d226d0c57693c13a,63bc2847d226d0c57693c13a,6,2018,165,129.5
63bc2847d226d0c57693c13b,63bc2847d226d0c57693c13b,7,2018,286.3,132.9
63bc2847d226d0c57693c13c,63bc2847d226d0c57693c13c,8,2018,254.3,138.2
63bc2847d226d0c57693c13d,63bc2847d226d0c57693c13d,9,2018,171.9,141.7
63bc2847d226d0c57693c13e,63bc2847d226d0c57693c13e,10,2018,77.2,148.6
63bc2847d226d0c57693c13f,63bc2847d226d0c57693c13f,11,2018,28.1,161.7
63bc2847d226d0c57693c140,63bc2847d226d0c57693c140,12,2018,14.1,165.1
