,_id,Month,Year,Rainfall,WPI
636e32220e86372d005b55a4,636e32220e86372d005b55a4,4,2012,47.5,117.1
636e32220e86372d005b55a5,636e32220e86372d005b55a5,5,2012,31.7,118
636e32220e86372d005b55a6,636e32220e86372d005b55a6,6,2012,117.8,111.2
636e32220e86372d005b55a7,636e32220e86372d005b55a7,7,2012,250.2,113.2
636e32220e86372d005b55a8,636e32220e86372d005b55a8,8,2012,262.4,113.8
636e32220e86372d005b55a9,636e32220e86372d005b55a9,9,2012,193.5,111.8
636e32220e86372d005b55aa,636e32220e86372d005b55aa,10,2012,58.7,110.5
636e32220e86372d005b55ab,636e32220e86372d005b55ab,11,2012,30.7,113.9
636e32220e86372d005b55ac,636e32220e86372d005b55ac,12,2012,11.7,119
636e32220e86372d005b55ad,636e32220e86372d005b55ad,1,2013,11.3,119.4
636e32220e86372d005b55ae,636e32220e86372d005b55ae,2,2013,40.1,120.2
636e32220e86372d005b55af,636e32220e86372d005b55af,3,2013,15.7,119.5
636e32220e86372d005b55b0,636e32220e86372d005b55b0,4,2013,30.4,116.5
636e32220e86372d005b55b1,636e32220e86372d005b55b1,5,2013,57.8,114.7
636e32220e86372d005b55b2,636e32220e86372d005b55b2,6,2013,219.8,115.8
636e32220e86372d005b55b3,636e32220e86372d005b55b3,7,2013,310,115.8
636e32220e86372d005b55b4,636e32220e86372d005b55b4,8,2013,254.7,116.3
636e32220e86372d005b55b5,636e32220e86372d005b55b5,9,2013,152.7,118
636e32220e86372d005b55b6,636e32220e86372d005b55b6,10,2013,129.4,118.6
636e32220e86372d005b55b7,636e32220e86372d005b55b7,11,2013,14,120.1
636e32220e86372d005b55b8,636e32220e86372d005b55b8,12,2013,6.7,123.3
636e32220e86372d005b55b9,636e32220e86372d005b55b9,1,2014,19.2,123.9
636e32220e86372d005b55ba,636e32220e86372d005b55ba,2,2014,27.4,123.5
636e32220e86372d005b55bb,636e32220e86372d005b55bb,3,2014,36.1,124.1
636e32220e86372d005b55bc,636e32220e86372d005b55bc,4,2014,22.2,119.2
636e32220e86372d005b55bd,636e32220e86372d005b55bd,5,2014,72.9,120.7
636e32220e86372d005b55be,636e32220e86372d005b55be,6,2014,95.4,118.2
636e32220e86372d005b55bf,636e32220e86372d005b55bf,7,2014,261.2,120.1
636e32220e86372d005b55c0,636e32220e86372d005b55c0,8,2014,237.5,124.2
636e32220e86372d005b55c1,636e32220e86372d005b55c1,9,2014,188,127.1
636e32220e86372d005b55c2,636e32220e86372d005b55c2,10,2014,60.2,129.8
636e32220e86372d005b55c3,636e32220e86372d005b55c3,11,2014,14.4,128.4
636e32220e86372d005b55c4,636e32220e86372d005b55c4,12,2014,10.7,131
636e32220e86372d005b55c5,636e32220e86372d005b55c5,1,2015,17.4,135.4
636e32220e86372d005b55c6,636e32220e86372d005b55c6,2,2015,21,134.7
636e32220e86372d005b55c7,636e32220e86372d005b55c7,3,2015,62,132.6
636e32220e86372d005b55c8,636e32220e86372d005b55c8,4,2015,69.4,120.1
636e32220e86372d005b55c9,636e32220e86372d005b55c9,5,2015,53.8,122.7
636e32220e86372d005b55ca,636e32220e86372d005b55ca,6,2015,192.8,120.7
636e32220e86372d005b55cb,636e32220e86372d005b55cb,7,2015,242.4,121.9
636e32220e86372d005b55cc,636e32220e86372d005b55cc,8,2015,205.2,122.6
636e32220e86372d005b55cd,636e32220e86372d005b55cd,9,2015,131.8,124.3
636e32220e86372d005b55ce,636e32220e86372d005b55ce,10,2015,42.9,128.5
636e32220e86372d005b55cf,636e32220e86372d005b55cf,11,2015,39.4,133.1
636e32220e86372d005b55d0,636e32220e86372d005b55d0,12,2015,15,136.1
636e32220e86372d005b55d1,636e32220e86372d005b55d1,1,2016,19.3,138.5
636e32220e86372d005b55d2,636e32220e86372d005b55d2,2,2016,22.8,141.6
636e32220e86372d005b55d3,636e32220e86372d005b55d3,3,2016,27.6,139.4
636e32220e86372d005b55d4,636e32220e86372d005b55d4,4,2016,37.4,143.4
636e32220e86372d005b55d5,636e32220e86372d005b55d5,5,2016,62.6,148.7
636e32220e86372d005b55d6,636e32220e86372d005b55d6,6,2016,168.3,151.8
636e32220e86372d005b55d7,636e32220e86372d005b55d7,7,2016,289.1,154.2
636e32220e86372d005b55d8,636e32220e86372d005b55d8,8,2016,256.3,155.5
636e32220e86372d005b55d9,636e32220e86372d005b55d9,9,2016,171.9,154
636e32220e86372d005b55da,636e32220e86372d005b55da,10,2016,76.1,153.6
636e32220e86372d005b55db,636e32220e86372d005b55db,11,2016,29.7,159.5
636e32220e86372d005b55dc,636e32220e86372d005b55dc,12,2016,14.9,161.2
636e32220e86372d005b55dd,636e32220e86372d005b55dd,1,2017,19,161.6
636e32220e86372d005b55de,636e32220e86372d005b55de,2,2017,22.6,161.9
636e32220e86372d005b55df,636e32220e86372d005b55df,3,2017,27.8,156.9
636e32220e86372d005b55e0,636e32220e86372d005b55e0,4,2017,37.9,144.5
636e32220e86372d005b55e1,636e32220e86372d005b55e1,5,2017,62.4,137.7
636e32220e86372d005b55e2,636e32220e86372d005b55e2,6,2017,168.1,138.1
636e32220e86372d005b55e3,636e32220e86372d005b55e3,7,2017,289.3,139.3
636e32220e86372d005b55e4,636e32220e86372d005b55e4,8,2017,256.2,139.1
636e32220e86372d005b55e5,636e32220e86372d005b55e5,9,2017,171.5,140.3
636e32220e86372d005b55e6,636e32220e86372d005b55e6,10,2017,76.3,141.2
636e32220e86372d005b55e7,636e32220e86372d005b55e7,11,2017,29.9,140.4
636e32220e86372d005b55e8,636e32220e86372d005b55e8,12,2017,15,142.9
636e32220e86372d005b55e9,636e32220e86372d005b55e9,1,2018,19.2,141.6
636e32220e86372d005b55ea,636e32220e86372d005b55ea,2,2018,20.1,141
636e32220e86372d005b55eb,636e32220e86372d005b55eb,3,2018,27.1,140.8
636e32220e86372d005b55ec,636e32220e86372d005b55ec,4,2018,40.2,138.9
636e32220e86372d005b55ed,636e32220e86372d005b55ed,5,2018,62.7,139.8
636e32220e86372d005b55ee,636e32220e86372d005b55ee,6,2018,165,141.7
636e32220e86372d005b55ef,636e32220e86372d005b55ef,7,2018,286.3,141
636e32220e86372d005b55f0,636e32220e86372d005b55f0,8,2018,254.3,145
636e32220e86372d005b55f1,636e32220e86372d005b55f1,9,2018,171.9,146.7
636e32220e86372d005b55f2,636e32220e86372d005b55f2,10,2018,77.2,150.2
636e32220e86372d005b55f3,636e32220e86372d005b55f3,11,2018,28.1,153.5
636e32220e86372d005b55f4,636e32220e86372d005b55f4,12,2018,14.1,154.8
