,_id,Month,Year,Rainfall,WPI
63bc28c7d226d0c57693c194,63bc28c7d226d0c57693c194,4,2012,47.5,84.3
63bc28c7d226d0c57693c195,63bc28c7d226d0c57693c195,5,2012,31.7,79.5
63bc28c7d226d0c57693c196,63bc28c7d226d0c57693c196,6,2012,117.8,80.2
63bc28c7d226d0c57693c197,63bc28c7d226d0c57693c197,7,2012,250.2,78.8
63bc28c7d226d0c57693c198,63bc28c7d226d0c57693c198,8,2012,262.4,78.1
63bc28c7d226d0c57693c199,63bc28c7d226d0c57693c199,9,2012,193.5,79.3
63bc28c7d226d0c57693c19a,63bc28c7d226d0c57693c19a,10,2012,58.7,78.3
63bc28c7d226d0c57693c19b,63bc28c7d226d0c57693c19b,11,2012,30.7,79.3
63bc28c7d226d0c57693c19c,63bc28c7d226d0c57693c19c,12,2012,11.7,82.1
63bc28c7d226d0c57693c19d,63bc28c7d226d0c57693c19d,1,2013,11.3,85.5
63bc28c7d226d0c57693c19e,63bc28c7d226d0c57693c19e,2,2013,40.1,82.5
63bc28c7d226d0c57693c19f,63bc28c7d226d0c57693c19f,3,2013,15.7,81.5
63bc28c7d226d0c57693c1a0,63bc28c7d226d0c57693c1a0,4,2013,30.4,81
63bc28c7d226d0c57693c1a1,63bc28c7d226d0c57693c1a1,5,2013,57.8,79.7
63bc28c7d226d0c57693c1a2,63bc28c7d226d0c57693c1a2,6,2013,219.8,83.5
63bc28c7d226d0c57693c1a3,63bc28c7d226d0c57693c1a3,7,2013,310,85.3
63bc28c7d226d0c57693c1a4,63bc28c7d226d0c57693c1a4,8,2013,254.7,91.7
63bc28c7d226d0c57693c1a5,63bc28c7d226d0c57693c1a5,9,2013,152.7,94.8
63bc28c7d226d0c57693c1a6,63bc28c7d226d0c57693c1a6,10,2013,129.4,109.6
63bc28c7d226d0c57693c1a7,63bc28c7d226d0c57693c1a7,11,2013,14,112.4
63bc28c7d226d0c57693c1a8,63bc28c7d226d0c57693c1a8,12,2013,6.7,112.8
63bc28c7d226d0c57693c1a9,63bc28c7d226d0c57693c1a9,1,2014,19.2,116.8
63bc28c7d226d0c57693c1aa,63bc28c7d226d0c57693c1aa,2,2014,27.4,121.6
63bc28c7d226d0c57693c1ab,63bc28c7d226d0c57693c1ab,3,2014,36.1,127.6
63bc28c7d226d0c57693c1ac,63bc28c7d226d0c57693c1ac,4,2014,22.2,141.8
63bc28c7d226d0c57693c1ad,63bc28c7d226d0c57693c1ad,5,2014,72.9,150
63bc28c7d226d0c57693c1ae,63bc28c7d226d0c57693c1ae,6,2014,95.4,147.9
63bc28c7d226d0c57693c1af,63bc28c7d226d0c57693c1af,7,2014,261.2,152
63bc28c7d226d0c57693c1b0,63bc28c7d226d0c57693c1b0,8,2014,237.5,172.1
63bc28c7d226d0c57693c1b1,63bc28c7d226d0c57693c1b1,9,2014,188,170
63bc28c7d226d0c57693c1b2,63bc28c7d226d0c57693c1b2,10,2014,60.2,160.9
63bc28c7d226d0c57693c1b3,63bc28c7d226d0c57693c1b3,11,2014,14.4,153.2
63bc28c7d226d0c57693c1b4,63bc28c7d226d0c57693c1b4,12,2014,10.7,148.5
63bc28c7d226d0c57693c1b5,63bc28c7d226d0c57693c1b5,1,2015,17.4,162.7
63bc28c7d226d0c57693c1b6,63bc28c7d226d0c57693c1b6,2,2015,21,161.9
63bc28c7d226d0c57693c1b7,63bc28c7d226d0c57693c1b7,3,2015,62,162
63bc28c7d226d0c57693c1b8,63bc28c7d226d0c57693c1b8,4,2015,69.4,161.9
63bc28c7d226d0c57693c1b9,63bc28c7d226d0c57693c1b9,5,2015,53.8,154.4
63bc28c7d226d0c57693c1ba,63bc28c7d226d0c57693c1ba,6,2015,192.8,145.5
63bc28c7d226d0c57693c1bb,63bc28c7d226d0c57693c1bb,7,2015,242.4,134.4
63bc28c7d226d0c57693c1bc,63bc28c7d226d0c57693c1bc,8,2015,205.2,143.8
63bc28c7d226d0c57693c1bd,63bc28c7d226d0c57693c1bd,9,2015,131.8,139.6
63bc28c7d226d0c57693c1be,63bc28c7d226d0c57693c1be,10,2015,42.9,135.1
63bc28c7d226d0c57693c1bf,63bc28c7d226d0c57693c1bf,11,2015,39.4,130.2
63bc28c7d226d0c57693c1c0,63bc28c7d226d0c57693c1c0,12,2015,15,118.7
63bc28c7d226d0c57693c1c1,63bc28c7d226d0c57693c1c1,1,2016,19.3,112.3
63bc28c7d226d0c57693c1c2,63bc28c7d226d0c57693c1c2,2,2016,22.8,109.7
63bc28c7d226d0c57693c1c3,63bc28c7d226d0c57693c1c3,3,2016,27.6,103.9
63bc28c7d226d0c57693c1c4,63bc28c7d226d0c57693c1c4,4,2016,37.4,103.9
63bc28c7d226d0c57693c1c5,63bc28c7d226d0c57693c1c5,5,2016,62.6,102.3
63bc28c7d226d0c57693c1c6,63bc28c7d226d0c57693c1c6,6,2016,168.3,100.6
63bc28c7d226d0c57693c1c7,63bc28c7d226d0c57693c1c7,7,2016,289.1,99.5
63bc28c7d226d0c57693c1c8,63bc28c7d226d0c57693c1c8,8,2016,256.3,105.2
63bc28c7d226d0c57693c1c9,63bc28c7d226d0c57693c1c9,9,2016,171.9,107.6
63bc28c7d226d0c57693c1ca,63bc28c7d226d0c57693c1ca,10,2016,76.1,109.1
63bc28c7d226d0c57693c1cb,63bc28c7d226d0c57693c1cb,11,2016,29.7,110
63bc28c7d226d0c57693c1cc,63bc28c7d226d0c57693c1cc,12,2016,14.9,114.6
63bc28c7d226d0c57693c1cd,63bc28c7d226d0c57693c1cd,1,2017,19,121.6
63bc28c7d226d0c57693c1ce,63bc28c7d226d0c57693c1ce,2,2017,22.6,130.3
63bc28c7d226d0c57693c1cf,63bc28c7d226d0c57693c1cf,3,2017,27.8,128.3
63bc28c7d226d0c57693c1d0,63bc28c7d226d0c57693c1d0,4,2017,37.9,134.6
63bc28c7d226d0c57693c1d1,63bc28c7d226d0c57693c1d1,5,2017,62.4,132.1
63bc28c7d226d0c57693c1d2,63bc28c7d226d0c57693c1d2,6,2017,168.1,145.8
63bc28c7d226d0c57693c1d3,63bc28c7d226d0c57693c1d3,7,2017,289.3,152
63bc28c7d226d0c57693c1d4,63bc28c7d226d0c57693c1d4,8,2017,256.2,168.5
63bc28c7d226d0c57693c1d5,63bc28c7d226d0c57693c1d5,9,2017,171.5,188.6
63bc28c7d226d0c57693c1d6,63bc28c7d226d0c57693c1d6,10,2017,76.3,189.8
63bc28c7d226d0c57693c1d7,63bc28c7d226d0c57693c1d7,11,2017,29.9,195.4
63bc28c7d226d0c57693c1d8,63bc28c7d226d0c57693c1d8,12,2017,15,210.1
63bc28c7d226d0c57693c1d9,63bc28c7d226d0c57693c1d9,1,2018,19.2,215.5
63bc28c7d226d0c57693c1da,63bc28c7d226d0c57693c1da,2,2018,20.1,214.4
63bc28c7d226d0c57693c1db,63bc28c7d226d0c57693c1db,3,2018,27.1,209.4
63bc28c7d226d0c57693c1dc,63bc28c7d226d0c57693c1dc,4,2018,40.2,215.3
63bc28c7d226d0c57693c1dd,63bc28c7d226d0c57693c1dd,5,2018,62.7,226.1
63bc28c7d226d0c57693c1de,63bc28c7d226d0c57693c1de,6,2018,165,222.2
63bc28c7d226d0c57693c1df,63bc28c7d226d0c57693c1df,7,2018,286.3,218.1
63bc28c7d226d0c57693c1e0,63bc28c7d226d0c57693c1e0,8,2018,254.3,218.7
63bc28c7d226d0c57693c1e1,63bc28c7d226d0c57693c1e1,9,2018,171.9,212.2
63bc28c7d226d0c57693c1e2,63bc28c7d226d0c57693c1e2,10,2018,77.2,199
63bc28c7d226d0c57693c1e3,63bc28c7d226d0c57693c1e3,11,2018,28.1,191.2
63bc28c7d226d0c57693c1e4,63bc28c7d226d0c57693c1e4,12,2018,14.1,198.3
