,_id,Month,Year,Rainfall,WPI
63bc28e3d226d0c57693c1e6,63bc28e3d226d0c57693c1e6,4,2012,47.5,101.2
63bc28e3d226d0c57693c1e7,63bc28e3d226d0c57693c1e7,5,2012,31.7,101.5
63bc28e3d226d0c57693c1e8,63bc28e3d226d0c57693c1e8,6,2012,117.8,102.5
63bc28e3d226d0c57693c1e9,63bc28e3d226d0c57693c1e9,7,2012,250.2,110.7
63bc28e3d226d0c57693c1ea,63bc28e3d226d0c57693c1ea,8,2012,262.4,115
63bc28e3d226d0c57693c1eb,63bc28e3d226d0c57693c1eb,9,2012,193.5,112.5
63bc28e3d226d0c57693c1ec,63bc28e3d226d0c57693c1ec,10,2012,58.7,114
63bc28e3d226d0c57693c1ed,63bc28e3d226d0c57693c1ed,11,2012,30.7,111.9
63bc28e3d226d0c57693c1ee,63bc28e3d226d0c57693c1ee,12,2012,11.7,110.8
63bc28e3d226d0c57693c1ef,63bc28e3d226d0c57693c1ef,1,2013,11.3,106.5
63bc28e3d226d0c57693c1f0,63bc28e3d226d0c57693c1f0,2,2013,40.1,106.1
63bc28e3d226d0c57693c1f1,63bc28e3d226d0c57693c1f1,3,2013,15.7,112
63bc28e3d226d0c57693c1f2,63bc28e3d226d0c57693c1f2,4,2013,30.4,112
63bc28e3d226d0c57693c1f3,63bc28e3d226d0c57693c1f3,5,2013,57.8,114.4
63bc28e3d226d0c57693c1f4,63bc28e3d226d0c57693c1f4,6,2013,219.8,115.9
63bc28e3d226d0c57693c1f5,63bc28e3d226d0c57693c1f5,7,2013,310,119.1
63bc28e3d226d0c57693c1f6,63bc28e3d226d0c57693c1f6,8,2013,254.7,123.6
63bc28e3d226d0c57693c1f7,63bc28e3d226d0c57693c1f7,9,2013,152.7,120.4
63bc28e3d226d0c57693c1f8,63bc28e3d226d0c57693c1f8,10,2013,129.4,118.7
63bc28e3d226d0c57693c1f9,63bc28e3d226d0c57693c1f9,11,2013,14,115.7
63bc28e3d226d0c57693c1fa,63bc28e3d226d0c57693c1fa,12,2013,6.7,112.9
63bc28e3d226d0c57693c1fb,63bc28e3d226d0c57693c1fb,1,2014,19.2,115.7
63bc28e3d226d0c57693c1fc,63bc28e3d226d0c57693c1fc,2,2014,27.4,114.2
63bc28e3d226d0c57693c1fd,63bc28e3d226d0c57693c1fd,3,2014,36.1,111.7
63bc28e3d226d0c57693c1fe,63bc28e3d226d0c57693c1fe,4,2014,22.2,114.9
63bc28e3d226d0c57693c1ff,63bc28e3d226d0c57693c1ff,5,2014,72.9,115.5
63bc28e3d226d0c57693c200,63bc28e3d226d0c57693c200,6,2014,95.4,120.9
63bc28e3d226d0c57693c201,63bc28e3d226d0c57693c201,7,2014,261.2,122.8
63bc28e3d226d0c57693c202,63bc28e3d226d0c57693c202,8,2014,237.5,132.6
63bc28e3d226d0c57693c203,63bc28e3d226d0c57693c203,9,2014,188,125.2
63bc28e3d226d0c57693c204,63bc28e3d226d0c57693c204,10,2014,60.2,120.7
63bc28e3d226d0c57693c205,63bc28e3d226d0c57693c205,11,2014,14.4,114.5
63bc28e3d226d0c57693c206,63bc28e3d226d0c57693c206,12,2014,10.7,111.2
63bc28e3d226d0c57693c207,63bc28e3d226d0c57693c207,1,2015,17.4,107.7
63bc28e3d226d0c57693c208,63bc28e3d226d0c57693c208,2,2015,21,108.5
63bc28e3d226d0c57693c209,63bc28e3d226d0c57693c209,3,2015,62,113.8
63bc28e3d226d0c57693c20a,63bc28e3d226d0c57693c20a,4,2015,69.4,119.4
63bc28e3d226d0c57693c20b,63bc28e3d226d0c57693c20b,5,2015,53.8,122.6
63bc28e3d226d0c57693c20c,63bc28e3d226d0c57693c20c,6,2015,192.8,125
63bc28e3d226d0c57693c20d,63bc28e3d226d0c57693c20d,7,2015,242.4,129.8
63bc28e3d226d0c57693c20e,63bc28e3d226d0c57693c20e,8,2015,205.2,131.1
63bc28e3d226d0c57693c20f,63bc28e3d226d0c57693c20f,9,2015,131.8,141.4
63bc28e3d226d0c57693c210,63bc28e3d226d0c57693c210,10,2015,42.9,146.2
63bc28e3d226d0c57693c211,63bc28e3d226d0c57693c211,11,2015,39.4,136.8
63bc28e3d226d0c57693c212,63bc28e3d226d0c57693c212,12,2015,15,140.7
63bc28e3d226d0c57693c213,63bc28e3d226d0c57693c213,1,2016,19.3,145.3
63bc28e3d226d0c57693c214,63bc28e3d226d0c57693c214,2,2016,22.8,148.2
63bc28e3d226d0c57693c215,63bc28e3d226d0c57693c215,3,2016,27.6,150.3
