,_id,Month,Year,Rainfall,WPI
63bc2987d226d0c57693c238,63bc2987d226d0c57693c238,4,2012,47.5,116.1
63bc2987d226d0c57693c239,63bc2987d226d0c57693c239,5,2012,31.7,127.5
63bc2987d226d0c57693c23a,63bc2987d226d0c57693c23a,6,2012,117.8,130.7
63bc2987d226d0c57693c23b,63bc2987d226d0c57693c23b,7,2012,250.2,143.7
63bc2987d226d0c57693c23c,63bc2987d226d0c57693c23c,8,2012,262.4,149.9
63bc2987d226d0c57693c23d,63bc2987d226d0c57693c23d,9,2012,193.5,148.9
63bc2987d226d0c57693c23e,63bc2987d226d0c57693c23e,10,2012,58.7,145.5
63bc2987d226d0c57693c23f,63bc2987d226d0c57693c23f,11,2012,30.7,146
63bc2987d226d0c57693c240,63bc2987d226d0c57693c240,12,2012,11.7,139.4
63bc2987d226d0c57693c241,63bc2987d226d0c57693c241,1,2013,11.3,134
63bc2987d226d0c57693c242,63bc2987d226d0c57693c242,2,2013,40.1,124.1
63bc2987d226d0c57693c243,63bc2987d226d0c57693c243,3,2013,15.7,117.5
63bc2987d226d0c57693c244,63bc2987d226d0c57693c244,4,2013,30.4,118.8
63bc2987d226d0c57693c245,63bc2987d226d0c57693c245,5,2013,57.8,117
63bc2987d226d0c57693c246,63bc2987d226d0c57693c246,6,2013,219.8,113.6
63bc2987d226d0c57693c247,63bc2987d226d0c57693c247,7,2013,310,110
63bc2987d226d0c57693c248,63bc2987d226d0c57693c248,8,2013,254.7,107.9
63bc2987d226d0c57693c249,63bc2987d226d0c57693c249,9,2013,152.7,109.3
63bc2987d226d0c57693c24a,63bc2987d226d0c57693c24a,10,2013,129.4,111
63bc2987d226d0c57693c24b,63bc2987d226d0c57693c24b,11,2013,14,108.8
63bc2987d226d0c57693c24c,63bc2987d226d0c57693c24c,12,2013,6.7,107.3
63bc2987d226d0c57693c24d,63bc2987d226d0c57693c24d,1,2014,19.2,103.6
63bc2987d226d0c57693c24e,63bc2987d226d0c57693c24e,2,2014,27.4,101.7
63bc2987d226d0c57693c24f,63bc2987d226d0c57693c24f,3,2014,36.1,103.5
63bc2987d226d0c57693c250,63bc2987d226d0c57693c250,4,2014,22.2,102.8
63bc2987d226d0c57693c251,63bc2987d226d0c57693c251,5,2014,72.9,103.1
63bc2987d226d0c57693c252,63bc2987d226d0c57693c252,6,2014,95.4,99.6
63bc2987d226d0c57693c253,63bc2987d226d0c57693c253,7,2014,261.2,97.8
63bc2987d226d0c57693c254,63bc2987d226d0c57693c254,8,2014,237.5,100.4
63bc2987d226d0c57693c255,63bc2987d226d0c57693c255,9,2014,188,100.2
63bc2987d226d0c57693c256,63bc2987d226d0c57693c256,10,2014,60.2,100.8
63bc2987d226d0c57693c257,63bc2987d226d0c57693c257,11,2014,14.4,100.5
63bc2987d226d0c57693c258,63bc2987d226d0c57693c258,12,2014,10.7,102.6
63bc2987d226d0c57693c259,63bc2987d226d0c57693c259,1,2015,17.4,107.5
63bc2987d226d0c57693c25a,63bc2987d226d0c57693c25a,2,2015,21,109.4
63bc2987d226d0c57693c25b,63bc2987d226d0c57693c25b,3,2015,62,110.9
63bc2987d226d0c57693c25c,63bc2987d226d0c57693c25c,4,2015,69.4,115.3
63bc2987d226d0c57693c25d,63bc2987d226d0c57693c25d,5,2015,53.8,126.4
63bc2987d226d0c57693c25e,63bc2987d226d0c57693c25e,6,2015,192.8,135
63bc2987d226d0c57693c25f,63bc2987d226d0c57693c25f,7,2015,242.4,137.9
63bc2987d226d0c57693c260,63bc2987d226d0c57693c260,8,2015,205.2,142.3
63bc2987d226d0c57693c261,63bc2987d226d0c57693c261,9,2015,131.8,146.3
