,_id,Month,Year,Rainfall,WPI
636e32930e86372d005b569d,636e32930e86372d005b569d,4,2012,47.5,112.5
636e32930e86372d005b569e,636e32930e86372d005b569e,5,2012,31.7,114
636e32930e86372d005b569f,636e32930e86372d005b569f,6,2012,117.8,113.9
636e32930e86372d005b56a0,636e32930e86372d005b56a0,7,2012,250.2,116.7
636e32930e86372d005b56a1,636e32930e86372d005b56a1,8,2012,262.4,122.9
636e32930e86372d005b56a2,636e32930e86372d005b56a2,9,2012,193.5,122
636e32930e86372d005b56a3,636e32930e86372d005b56a3,10,2012,58.7,121.5
636e32930e86372d005b56a4,636e32930e86372d005b56a4,11,2012,30.7,121.9
636e32930e86372d005b56a5,636e32930e86372d005b56a5,12,2012,11.7,125.8
636e32930e86372d005b56a6,636e32930e86372d005b56a6,1,2013,11.3,128.7
636e32930e86372d005b56a7,636e32930e86372d005b56a7,2,2013,40.1,125.3
636e32930e86372d005b56a8,636e32930e86372d005b56a8,3,2013,15.7,121.1
636e32930e86372d005b56a9,636e32930e86372d005b56a9,4,2013,30.4,124.7
636e32930e86372d005b56aa,636e32930e86372d005b56aa,5,2013,57.8,122.2
636e32930e86372d005b56ab,636e32930e86372d005b56ab,6,2013,219.8,115.8
636e32930e86372d005b56ac,636e32930e86372d005b56ac,7,2013,310,110.3
636e32930e86372d005b56ad,636e32930e86372d005b56ad,8,2013,254.7,106.2
636e32930e86372d005b56ae,636e32930e86372d005b56ae,9,2013,152.7,107.1
636e32930e86372d005b56af,636e32930e86372d005b56af,10,2013,129.4,107.6
636e32930e86372d005b56b0,636e32930e86372d005b56b0,11,2013,14,104.7
636e32930e86372d005b56b1,636e32930e86372d005b56b1,12,2013,6.7,100.4
636e32930e86372d005b56b2,636e32930e86372d005b56b2,1,2014,19.2,100.7
636e32930e86372d005b56b3,636e32930e86372d005b56b3,2,2014,27.4,99.4
636e32930e86372d005b56b4,636e32930e86372d005b56b4,3,2014,36.1,99.3
636e32930e86372d005b56b5,636e32930e86372d005b56b5,4,2014,22.2,100.4
636e32930e86372d005b56b6,636e32930e86372d005b56b6,5,2014,72.9,103.9
636e32930e86372d005b56b7,636e32930e86372d005b56b7,6,2014,95.4,102.5
636e32930e86372d005b56b8,636e32930e86372d005b56b8,7,2014,261.2,103.5
636e32930e86372d005b56b9,636e32930e86372d005b56b9,8,2014,237.5,106.3
636e32930e86372d005b56ba,636e32930e86372d005b56ba,9,2014,188,109.8
636e32930e86372d005b56bb,636e32930e86372d005b56bb,10,2014,60.2,109
636e32930e86372d005b56bc,636e32930e86372d005b56bc,11,2014,14.4,106.5
636e32930e86372d005b56bd,636e32930e86372d005b56bd,12,2014,10.7,105
636e32930e86372d005b56be,636e32930e86372d005b56be,1,2015,17.4,110
636e32930e86372d005b56bf,636e32930e86372d005b56bf,2,2015,21,111.1
636e32930e86372d005b56c0,636e32930e86372d005b56c0,3,2015,62,115
636e32930e86372d005b56c1,636e32930e86372d005b56c1,4,2015,69.4,119.7
636e32930e86372d005b56c2,636e32930e86372d005b56c2,5,2015,53.8,127.3
636e32930e86372d005b56c3,636e32930e86372d005b56c3,6,2015,192.8,135.7
636e32930e86372d005b56c4,636e32930e86372d005b56c4,7,2015,242.4,133.1
636e32930e86372d005b56c5,636e32930e86372d005b56c5,8,2015,205.2,134.8
636e32930e86372d005b56c6,636e32930e86372d005b56c6,9,2015,131.8,136.1
636e32930e86372d005b56c7,636e32930e86372d005b56c7,10,2015,42.9,122.3
636e32930e86372d005b56c8,636e32930e86372d005b56c8,11,2015,39.4,122.4
636e32930e86372d005b56c9,636e32930e86372d005b56c9,12,2015,15,126
636e32930e86372d005b56ca,636e32930e86372d005b56ca,1,2016,19.3,123.3
636e32930e86372d005b56cb,636e32930e86372d005b56cb,2,2016,22.8,124.6
636e32930e86372d005b56cc,636e32930e86372d005b56cc,3,2016,27.6,128.9
636e32930e86372d005b56cd,636e32930e86372d005b56cd,4,2016,37.4,139.1
636e32930e86372d005b56ce,636e32930e86372d005b56ce,5,2016,62.6,143.4
636e32930e86372d005b56cf,636e32930e86372d005b56cf,6,2016,168.3,146.1
