,_id,Month,Year,Rainfall,WPI
63bc29cfd226d0c57693c2dc,63bc29cfd226d0c57693c2dc,4,2012,47.5,98.3
63bc29cfd226d0c57693c2dd,63bc29cfd226d0c57693c2dd,5,2012,31.7,98.2
63bc29cfd226d0c57693c2de,63bc29cfd226d0c57693c2de,6,2012,117.8,97
63bc29cfd226d0c57693c2df,63bc29cfd226d0c57693c2df,7,2012,250.2,93.7
63bc29cfd226d0c57693c2e0,63bc29cfd226d0c57693c2e0,8,2012,262.4,96.2
63bc29cfd226d0c57693c2e1,63bc29cfd226d0c57693c2e1,9,2012,193.5,97.2
63bc29cfd226d0c57693c2e2,63bc29cfd226d0c57693c2e2,10,2012,58.7,95.5
63bc29cfd226d0c57693c2e3,63bc29cfd226d0c57693c2e3,11,2012,30.7,95.6
63bc29cfd226d0c57693c2e4,63bc29cfd226d0c57693c2e4,12,2012,11.7,95
63bc29cfd226d0c57693c2e5,63bc29cfd226d0c57693c2e5,1,2013,11.3,95.2
63bc29cfd226d0c57693c2e6,63bc29cfd226d0c57693c2e6,2,2013,40.1,97.9
63bc29cfd226d0c57693c2e7,63bc29cfd226d0c57693c2e7,3,2013,15.7,101.9
63bc29cfd226d0c57693c2e8,63bc29cfd226d0c57693c2e8,4,2013,30.4,101.7
63bc29cfd226d0c57693c2e9,63bc29cfd226d0c57693c2e9,5,2013,57.8,99.5
63bc29cfd226d0c57693c2ea,63bc29cfd226d0c57693c2ea,6,2013,219.8,97.7
63bc29cfd226d0c57693c2eb,63bc29cfd226d0c57693c2eb,7,2013,310,99.5
63bc29cfd226d0c57693c2ec,63bc29cfd226d0c57693c2ec,8,2013,254.7,94.5
63bc29cfd226d0c57693c2ed,63bc29cfd226d0c57693c2ed,9,2013,152.7,98
63bc29cfd226d0c57693c2ee,63bc29cfd226d0c57693c2ee,10,2013,129.4,98.4
63bc29cfd226d0c57693c2ef,63bc29cfd226d0c57693c2ef,11,2013,14,99.5
63bc29cfd226d0c57693c2f0,63bc29cfd226d0c57693c2f0,12,2013,6.7,100.8
63bc29cfd226d0c57693c2f1,63bc29cfd226d0c57693c2f1,1,2014,19.2,100.8
63bc29cfd226d0c57693c2f2,63bc29cfd226d0c57693c2f2,2,2014,27.4,103
63bc29cfd226d0c57693c2f3,63bc29cfd226d0c57693c2f3,3,2014,36.1,111.3
63bc29cfd226d0c57693c2f4,63bc29cfd226d0c57693c2f4,4,2014,22.2,115.7
63bc29cfd226d0c57693c2f5,63bc29cfd226d0c57693c2f5,5,2014,72.9,112.8
63bc29cfd226d0c57693c2f6,63bc29cfd226d0c57693c2f6,6,2014,95.4,113.9
63bc29cfd226d0c57693c2f7,63bc29cfd226d0c57693c2f7,7,2014,261.2,120.7
63bc29cfd226d0c57693c2f8,63bc29cfd226d0c57693c2f8,8,2014,237.5,116.1
63bc29cfd226d0c57693c2f9,63bc29cfd226d0c57693c2f9,9,2014,188,115
63bc29cfd226d0c57693c2fa,63bc29cfd226d0c57693c2fa,10,2014,60.2,117
63bc29cfd226d0c57693c2fb,63bc29cfd226d0c57693c2fb,11,2014,14.4,115.3
63bc29cfd226d0c57693c2fc,63bc29cfd226d0c57693c2fc,12,2014,10.7,110.3
63bc29cfd226d0c57693c2fd,63bc29cfd226d0c57693c2fd,1,2015,17.4,119.2
63bc29cfd226d0c57693c2fe,63bc29cfd226d0c57693c2fe,2,2015,21,119.6
63bc29cfd226d0c57693c2ff,63bc29cfd226d0c57693c2ff,3,2015,62,114.4
63bc29cfd226d0c57693c300,63bc29cfd226d0c57693c300,4,2015,69.4,111.3
63bc29cfd226d0c57693c301,63bc29cfd226d0c57693c301,5,2015,53.8,117.4
63bc29cfd226d0c57693c302,63bc29cfd226d0c57693c302,6,2015,192.8,115.7
63bc29cfd226d0c57693c303,63bc29cfd226d0c57693c303,7,2015,242.4,110.7
63bc29cfd226d0c57693c304,63bc29cfd226d0c57693c304,8,2015,205.2,108.4
63bc29cfd226d0c57693c305,63bc29cfd226d0c57693c305,9,2015,131.8,108.4
63bc29cfd226d0c57693c306,63bc29cfd226d0c57693c306,10,2015,42.9,114.4
63bc29cfd226d0c57693c307,63bc29cfd226d0c57693c307,11,2015,39.4,113.4
63bc29cfd226d0c57693c308,63bc29cfd226d0c57693c308,12,2015,15,119.2
63bc29cfd226d0c57693c309,63bc29cfd226d0c57693c309,1,2016,19.3,115.4
63bc29cfd226d0c57693c30a,63bc29cfd226d0c57693c30a,2,2016,22.8,116.1
63bc29cfd226d0c57693c30b,63bc29cfd226d0c57693c30b,3,2016,27.6,115.8
63bc29cfd226d0c57693c30c,63bc29cfd226d0c57693c30c,4,2016,37.4,115.5
63bc29cfd226d0c57693c30d,63bc29cfd226d0c57693c30d,5,2016,62.6,118.7
63bc29cfd226d0c57693c30e,63bc29cfd226d0c57693c30e,6,2016,168.3,120.9
63bc29cfd226d0c57693c30f,63bc29cfd226d0c57693c30f,7,2016,289.1,120.1
63bc29cfd226d0c57693c310,63bc29cfd226d0c57693c310,8,2016,256.3,121.4
63bc29cfd226d0c57693c311,63bc29cfd226d0c57693c311,9,2016,171.9,124
63bc29cfd226d0c57693c312,63bc29cfd226d0c57693c312,10,2016,76.1,121.9
63bc29cfd226d0c57693c313,63bc29cfd226d0c57693c313,11,2016,29.7,123.2
63bc29cfd226d0c57693c314,63bc29cfd226d0c57693c314,12,2016,14.9,127.8
63bc29cfd226d0c57693c315,63bc29cfd226d0c57693c315,1,2017,19,132.3
63bc29cfd226d0c57693c316,63bc29cfd226d0c57693c316,2,2017,22.6,136
63bc29cfd226d0c57693c317,63bc29cfd226d0c57693c317,3,2017,27.8,132.1
63bc29cfd226d0c57693c318,63bc29cfd226d0c57693c318,4,2017,37.9,131.6
63bc29cfd226d0c57693c319,63bc29cfd226d0c57693c319,5,2017,62.4,130.5
63bc29cfd226d0c57693c31a,63bc29cfd226d0c57693c31a,6,2017,168.1,126.9
63bc29cfd226d0c57693c31b,63bc29cfd226d0c57693c31b,7,2017,289.3,126.3
63bc29cfd226d0c57693c31c,63bc29cfd226d0c57693c31c,8,2017,256.2,124.5
63bc29cfd226d0c57693c31d,63bc29cfd226d0c57693c31d,9,2017,171.5,126.1
63bc29cfd226d0c57693c31e,63bc29cfd226d0c57693c31e,10,2017,76.3,123.3
63bc29cfd226d0c57693c31f,63bc29cfd226d0c57693c31f,11,2017,29.9,118.5
63bc29cfd226d0c57693c320,63bc29cfd226d0c57693c320,12,2017,15,121.3
63bc29cfd226d0c57693c321,63bc29cfd226d0c57693c321,1,2018,19.2,118.3
63bc29cfd226d0c57693c322,63bc29cfd226d0c57693c322,2,2018,20.1,115.9
63bc29cfd226d0c57693c323,63bc29cfd226d0c57693c323,3,2018,27.1,118.1
63bc29cfd226d0c57693c324,63bc29cfd226d0c57693c324,4,2018,40.2,118
63bc29cfd226d0c57693c325,63bc29cfd226d0c57693c325,5,2018,62.7,117
63bc29cfd226d0c57693c326,63bc29cfd226d0c57693c326,6,2018,165,119.3
63bc29cfd226d0c57693c327,63bc29cfd226d0c57693c327,7,2018,286.3,119.6
63bc29cfd226d0c57693c328,63bc29cfd226d0c57693c328,8,2018,254.3,121.9
63bc29cfd226d0c57693c329,63bc29cfd226d0c57693c329,9,2018,171.9,121.4
63bc29cfd226d0c57693c32a,63bc29cfd226d0c57693c32a,10,2018,77.2,125.8
63bc29cfd226d0c57693c32b,63bc29cfd226d0c57693c32b,11,2018,28.1,137.7
63bc29cfd226d0c57693c32c,63bc29cfd226d0c57693c32c,12,2018,14.1,142.3
