,_id,Month,Year,Rainfall,WPI
63bc29edd226d0c57693c32e,63bc29edd226d0c57693c32e,4,2012,47.5,101.6
63bc29edd226d0c57693c32f,63bc29edd226d0c57693c32f,5,2012,31.7,99.3
63bc29edd226d0c57693c330,63bc29edd226d0c57693c330,6,2012,117.8,104
63bc29edd226d0c57693c331,63bc29edd226d0c57693c331,7,2012,250.2,111.6
63bc29edd226d0c57693c332,63bc29edd226d0c57693c332,8,2012,262.4,114.2
63bc29edd226d0c57693c333,63bc29edd226d0c57693c333,9,2012,193.5,116.1
63bc29edd226d0c57693c334,63bc29edd226d0c57693c334,10,2012,58.7,110.8
63bc29edd226d0c57693c335,63bc29edd226d0c57693c335,11,2012,30.7,108.1
63bc29edd226d0c57693c336,63bc29edd226d0c57693c336,12,2012,11.7,106.5
63bc29edd226d0c57693c337,63bc29edd226d0c57693c337,1,2013,11.3,111.5
63bc29edd226d0c57693c338,63bc29edd226d0c57693c338,2,2013,40.1,116.3
63bc29edd226d0c57693c339,63bc29edd226d0c57693c339,3,2013,15.7,123.8
63bc29edd226d0c57693c33a,63bc29edd226d0c57693c33a,4,2013,30.4,124
63bc29edd226d0c57693c33b,63bc29edd226d0c57693c33b,5,2013,57.8,122.7
63bc29edd226d0c57693c33c,63bc29edd226d0c57693c33c,6,2013,219.8,119.3
63bc29edd226d0c57693c33d,63bc29edd226d0c57693c33d,7,2013,310,117.7
63bc29edd226d0c57693c33e,63bc29edd226d0c57693c33e,8,2013,254.7,113.5
63bc29edd226d0c57693c33f,63bc29edd226d0c57693c33f,9,2013,152.7,113.7
63bc29edd226d0c57693c340,63bc29edd226d0c57693c340,10,2013,129.4,119.9
63bc29edd226d0c57693c341,63bc29edd226d0c57693c341,11,2013,14,117.8
63bc29edd226d0c57693c342,63bc29edd226d0c57693c342,12,2013,6.7,124.9
63bc29edd226d0c57693c343,63bc29edd226d0c57693c343,1,2014,19.2,126.3
63bc29edd226d0c57693c344,63bc29edd226d0c57693c344,2,2014,27.4,126.2
63bc29edd226d0c57693c345,63bc29edd226d0c57693c345,3,2014,36.1,124.8
63bc29edd226d0c57693c346,63bc29edd226d0c57693c346,4,2014,22.2,127.6
63bc29edd226d0c57693c347,63bc29edd226d0c57693c347,5,2014,72.9,133
63bc29edd226d0c57693c348,63bc29edd226d0c57693c348,6,2014,95.4,134.1
63bc29edd226d0c57693c349,63bc29edd226d0c57693c349,7,2014,261.2,128.6
63bc29edd226d0c57693c34a,63bc29edd226d0c57693c34a,8,2014,237.5,123.7
63bc29edd226d0c57693c34b,63bc29edd226d0c57693c34b,9,2014,188,124.3
63bc29edd226d0c57693c34c,63bc29edd226d0c57693c34c,10,2014,60.2,128
63bc29edd226d0c57693c34d,63bc29edd226d0c57693c34d,11,2014,14.4,133.8
63bc29edd226d0c57693c34e,63bc29edd226d0c57693c34e,12,2014,10.7,137.1
63bc29edd226d0c57693c34f,63bc29edd226d0c57693c34f,1,2015,17.4,136.8
63bc29edd226d0c57693c350,63bc29edd226d0c57693c350,2,2015,21,140.8
63bc29edd226d0c57693c351,63bc29edd226d0c57693c351,3,2015,62,141.6
63bc29edd226d0c57693c352,63bc29edd226d0c57693c352,4,2015,69.4,141.1
63bc29edd226d0c57693c353,63bc29edd226d0c57693c353,5,2015,53.8,142
63bc29edd226d0c57693c354,63bc29edd226d0c57693c354,6,2015,192.8,159.7
63bc29edd226d0c57693c355,63bc29edd226d0c57693c355,7,2015,242.4,161.9
63bc29edd226d0c57693c356,63bc29edd226d0c57693c356,8,2015,205.2,160.1
63bc29edd226d0c57693c357,63bc29edd226d0c57693c357,9,2015,131.8,167.2
63bc29edd226d0c57693c358,63bc29edd226d0c57693c358,10,2015,42.9,181
63bc29edd226d0c57693c359,63bc29edd226d0c57693c359,11,2015,39.4,195.9
63bc29edd226d0c57693c35a,63bc29edd226d0c57693c35a,12,2015,15,204.5
63bc29edd226d0c57693c35b,63bc29edd226d0c57693c35b,1,2016,19.3,217.3
63bc29edd226d0c57693c35c,63bc29edd226d0c57693c35c,2,2016,22.8,221.7
63bc29edd226d0c57693c35d,63bc29edd226d0c57693c35d,3,2016,27.6,225.8
63bc29edd226d0c57693c35e,63bc29edd226d0c57693c35e,4,2016,37.4,229.4
63bc29edd226d0c57693c35f,63bc29edd226d0c57693c35f,5,2016,62.6,231.5
63bc29edd226d0c57693c360,63bc29edd226d0c57693c360,6,2016,168.3,251
63bc29edd226d0c57693c361,63bc29edd226d0c57693c361,7,2016,289.1,242.9
63bc29edd226d0c57693c362,63bc29edd226d0c57693c362,8,2016,256.3,196.8
63bc29edd226d0c57693c363,63bc29edd226d0c57693c363,9,2016,171.9,194
63bc29edd226d0c57693c364,63bc29edd226d0c57693c364,10,2016,76.1,194.2
63bc29edd226d0c57693c365,63bc29edd226d0c57693c365,11,2016,29.7,196.7
63bc29edd226d0c57693c366,63bc29edd226d0c57693c366,12,2016,14.9,190.2
63bc29edd226d0c57693c367,63bc29edd226d0c57693c367,1,2017,19,190.2
63bc29edd226d0c57693c368,63bc29edd226d0c57693c368,2,2017,22.6,190.6
63bc29edd226d0c57693c369,63bc29edd226d0c57693c369,3,2017,27.8,188.3
63bc29edd226d0c57693c36a,63bc29edd226d0c57693c36a,4,2017,37.9,168.9
63bc29edd226d0c57693c36b,63bc29edd226d0c57693c36b,5,2017,62.4,163.5
63bc29edd226d0c57693c36c,63bc29edd226d0c57693c36c,6,2017,168.1,163.3
63bc29edd226d0c57693c36d,63bc29edd226d0c57693c36d,7,2017,289.3,158.1
63bc29edd226d0c57693c36e,63bc29edd226d0c57693c36e,8,2017,256.2,154.6
63bc29edd226d0c57693c36f,63bc29edd226d0c57693c36f,9,2017,171.5,159.9
63bc29edd226d0c57693c370,63bc29edd226d0c57693c370,10,2017,76.3,158
63bc29edd226d0c57693c371,63bc29edd226d0c57693c371,11,2017,29.9,152.4
63bc29edd226d0c57693c372,63bc29edd226d0c57693c372,12,2017,15,154.4
63bc29edd226d0c57693c373,63bc29edd226d0c57693c373,1,2018,19.2,159.5
63bc29edd226d0c57693c374,63bc29edd226d0c57693c374,2,2018,20.1,166.8
63bc29edd226d0c57693c375,63bc29edd226d0c57693c375,3,2018,27.1,165.8
63bc29edd226d0c57693c376,63bc29edd226d0c57693c376,4,2018,40.2,166.1
63bc29edd226d0c57693c377,63bc29edd226d0c57693c377,5,2018,62.7,166.3
63bc29edd226d0c57693c378,63bc29edd226d0c57693c378,6,2018,165,166.9
63bc29edd226d0c57693c379,63bc29edd226d0c57693c379,7,2018,286.3,170.2
63bc29edd226d0c57693c37a,63bc29edd226d0c57693c37a,8,2018,254.3,172.7
63bc29edd226d0c57693c37b,63bc29edd226d0c57693c37b,9,2018,171.9,181.7
63bc29edd226d0c57693c37c,63bc29edd226d0c57693c37c,10,2018,77.2,182.8
63bc29edd226d0c57693c37d,63bc29edd226d0c57693c37d,11,2018,28.1,184.8
63bc29edd226d0c57693c37e,63bc29edd226d0c57693c37e,12,2018,14.1,189.3
