,_id,Month,Year,Rainfall,WPI
636e32f30e86372d005b5796,636e32f30e86372d005b5796,4,2012,47.5,107.9
636e32f30e86372d005b5797,636e32f30e86372d005b5797,5,2012,31.7,105.5
636e32f30e86372d005b5798,636e32f30e86372d005b5798,6,2012,117.8,107.2
636e32f30e86372d005b5799,636e32f30e86372d005b5799,7,2012,250.2,111.3
636e32f30e86372d005b579a,636e32f30e86372d005b579a,8,2012,262.4,117.8
636e32f30e86372d005b579b,636e32f30e86372d005b579b,9,2012,193.5,117.3
636e32f30e86372d005b579c,636e32f30e86372d005b579c,10,2012,58.7,117.8
636e32f30e86372d005b579d,636e32f30e86372d005b579d,11,2012,30.7,117.9
636e32f30e86372d005b579e,636e32f30e86372d005b579e,12,2012,11.7,121.2
636e32f30e86372d005b579f,636e32f30e86372d005b579f,1,2013,11.3,123.4
636e32f30e86372d005b57a0,636e32f30e86372d005b57a0,2,2013,40.1,122.9
636e32f30e86372d005b57a1,636e32f30e86372d005b57a1,3,2013,15.7,121.8
636e32f30e86372d005b57a2,636e32f30e86372d005b57a2,4,2013,30.4,121.4
636e32f30e86372d005b57a3,636e32f30e86372d005b57a3,5,2013,57.8,120.6
636e32f30e86372d005b57a4,636e32f30e86372d005b57a4,6,2013,219.8,126.1
636e32f30e86372d005b57a5,636e32f30e86372d005b57a5,7,2013,310,127.6
636e32f30e86372d005b57a6,636e32f30e86372d005b57a6,8,2013,254.7,126.5
636e32f30e86372d005b57a7,636e32f30e86372d005b57a7,9,2013,152.7,128.9
636e32f30e86372d005b57a8,636e32f30e86372d005b57a8,10,2013,129.4,121.2
636e32f30e86372d005b57a9,636e32f30e86372d005b57a9,11,2013,14,122.1
636e32f30e86372d005b57aa,636e32f30e86372d005b57aa,12,2013,6.7,123
636e32f30e86372d005b57ab,636e32f30e86372d005b57ab,1,2014,19.2,120.1
636e32f30e86372d005b57ac,636e32f30e86372d005b57ac,2,2014,27.4,118.9
636e32f30e86372d005b57ad,636e32f30e86372d005b57ad,3,2014,36.1,121
636e32f30e86372d005b57ae,636e32f30e86372d005b57ae,4,2014,22.2,119.2
636e32f30e86372d005b57af,636e32f30e86372d005b57af,5,2014,72.9,118.3
636e32f30e86372d005b57b0,636e32f30e86372d005b57b0,6,2014,95.4,119.8
636e32f30e86372d005b57b1,636e32f30e86372d005b57b1,7,2014,261.2,124.6
636e32f30e86372d005b57b2,636e32f30e86372d005b57b2,8,2014,237.5,121.7
636e32f30e86372d005b57b3,636e32f30e86372d005b57b3,9,2014,188,117.4
636e32f30e86372d005b57b4,636e32f30e86372d005b57b4,10,2014,60.2,114.2
636e32f30e86372d005b57b5,636e32f30e86372d005b57b5,11,2014,14.4,113
636e32f30e86372d005b57b6,636e32f30e86372d005b57b6,12,2014,10.7,113.7
636e32f30e86372d005b57b7,636e32f30e86372d005b57b7,1,2015,17.4,118.6
636e32f30e86372d005b57b8,636e32f30e86372d005b57b8,2,2015,21,119.3
636e32f30e86372d005b57b9,636e32f30e86372d005b57b9,3,2015,62,122.4
636e32f30e86372d005b57ba,636e32f30e86372d005b57ba,4,2015,69.4,121.4
636e32f30e86372d005b57bb,636e32f30e86372d005b57bb,5,2015,53.8,118.9
636e32f30e86372d005b57bc,636e32f30e86372d005b57bc,6,2015,192.8,118.3
636e32f30e86372d005b57bd,636e32f30e86372d005b57bd,7,2015,242.4,119.9
636e32f30e86372d005b57be,636e32f30e86372d005b57be,8,2015,205.2,120.4
636e32f30e86372d005b57bf,636e32f30e86372d005b57bf,9,2015,131.8,121.9
