,_id,Month,Year,Rainfall,WPI
63bc2a32d226d0c57693c3d2,63bc2a32d226d0c57693c3d2,4,2012,47.5,102.5
63bc2a32d226d0c57693c3d3,63bc2a32d226d0c57693c3d3,5,2012,31.7,107.4
63bc2a32d226d0c57693c3d4,63bc2a32d226d0c57693c3d4,6,2012,117.8,109.7
63bc2a32d226d0c57693c3d5,63bc2a32d226d0c57693c3d5,7,2012,250.2,115.2
63bc2a32d226d0c57693c3d6,63bc2a32d226d0c57693c3d6,8,2012,262.4,119.2
63bc2a32d226d0c57693c3d7,63bc2a32d226d0c57693c3d7,9,2012,193.5,119
63bc2a32d226d0c57693c3d8,63bc2a32d226d0c57693c3d8,10,2012,58.7,118.6
63bc2a32d226d0c57693c3d9,63bc2a32d226d0c57693c3d9,11,2012,30.7,118.1
63bc2a32d226d0c57693c3da,63bc2a32d226d0c57693c3da,12,2012,11.7,117.4
63bc2a32d226d0c57693c3db,63bc2a32d226d0c57693c3db,1,2013,11.3,119.8
63bc2a32d226d0c57693c3dc,63bc2a32d226d0c57693c3dc,2,2013,40.1,120.1
63bc2a32d226d0c57693c3dd,63bc2a32d226d0c57693c3dd,3,2013,15.7,119.5
63bc2a32d226d0c57693c3de,63bc2a32d226d0c57693c3de,4,2013,30.4,126.1
63bc2a32d226d0c57693c3df,63bc2a32d226d0c57693c3df,5,2013,57.8,127.1
63bc2a32d226d0c57693c3e0,63bc2a32d226d0c57693c3e0,6,2013,219.8,130.6
63bc2a32d226d0c57693c3e1,63bc2a32d226d0c57693c3e1,7,2013,310,131.5
63bc2a32d226d0c57693c3e2,63bc2a32d226d0c57693c3e2,8,2013,254.7,132.2
63bc2a32d226d0c57693c3e3,63bc2a32d226d0c57693c3e3,9,2013,152.7,132.7
63bc2a32d226d0c57693c3e4,63bc2a32d226d0c57693c3e4,10,2013,129.4,130.9
63bc2a32d226d0c57693c3e5,63bc2a32d226d0c57693c3e5,11,2013,14,134.1
63bc2a32d226d0c57693c3e6,63bc2a32d226d0c57693c3e6,12,2013,6.7,135.6
63bc2a32d226d0c57693c3e7,63bc2a32d226d0c57693c3e7,1,2014,19.2,136.4
63bc2a32d226d0c57693c3e8,63bc2a32d226d0c57693c3e8,2,2014,27.4,136.6
63bc2a32d226d0c57693c3e9,63bc2a32d226d0c57693c3e9,3,2014,36.1,140.8
63bc2a32d226d0c57693c3ea,63bc2a32d226d0c57693c3ea,4,2014,22.2,143.3
