,_id,Month,Year,Rainfall,WPI
636e33300e86372d005b583c,636e33300e86372d005b583c,4,2012,47.5,96.3
636e33300e86372d005b583d,636e33300e86372d005b583d,5,2012,31.7,96
636e33300e86372d005b583e,636e33300e86372d005b583e,6,2012,117.8,96.6
636e33300e86372d005b583f,636e33300e86372d005b583f,7,2012,250.2,103.6
636e33300e86372d005b5840,636e33300e86372d005b5840,8,2012,262.4,108.7
636e33300e86372d005b5841,636e33300e86372d005b5841,9,2012,193.5,108.4
636e33300e86372d005b5842,636e33300e86372d005b5842,10,2012,58.7,112.2
636e33300e86372d005b5843,636e33300e86372d005b5843,11,2012,30.7,113.5
636e33300e86372d005b5844,636e33300e86372d005b5844,12,2012,11.7,115.4
636e33300e86372d005b5845,636e33300e86372d005b5845,1,2013,11.3,116.9
636e33300e86372d005b5846,636e33300e86372d005b5846,2,2013,40.1,117.1
636e33300e86372d005b5847,636e33300e86372d005b5847,3,2013,15.7,118.3
636e33300e86372d005b5848,636e33300e86372d005b5848,4,2013,30.4,120
636e33300e86372d005b5849,636e33300e86372d005b5849,5,2013,57.8,118.9
636e33300e86372d005b584a,636e33300e86372d005b584a,6,2013,219.8,119
636e33300e86372d005b584b,636e33300e86372d005b584b,7,2013,310,118
636e33300e86372d005b584c,636e33300e86372d005b584c,8,2013,254.7,113.9
636e33300e86372d005b584d,636e33300e86372d005b584d,9,2013,152.7,117.5
636e33300e86372d005b584e,636e33300e86372d005b584e,10,2013,129.4,122.9
636e33300e86372d005b584f,636e33300e86372d005b584f,11,2013,14,126.4
636e33300e86372d005b5850,636e33300e86372d005b5850,12,2013,6.7,126.7
636e33300e86372d005b5851,636e33300e86372d005b5851,1,2014,19.2,126.5
636e33300e86372d005b5852,636e33300e86372d005b5852,2,2014,27.4,129.3
636e33300e86372d005b5853,636e33300e86372d005b5853,3,2014,36.1,132.6
636e33300e86372d005b5854,636e33300e86372d005b5854,4,2014,22.2,135.5
636e33300e86372d005b5855,636e33300e86372d005b5855,5,2014,72.9,137.8
636e33300e86372d005b5856,636e33300e86372d005b5856,6,2014,95.4,136.8
636e33300e86372d005b5857,636e33300e86372d005b5857,7,2014,261.2,142.5
636e33300e86372d005b5858,636e33300e86372d005b5858,8,2014,237.5,142.2
636e33300e86372d005b5859,636e33300e86372d005b5859,9,2014,188,141.2
636e33300e86372d005b585a,636e33300e86372d005b585a,10,2014,60.2,144.6
636e33300e86372d005b585b,636e33300e86372d005b585b,11,2014,14.4,148.5
636e33300e86372d005b585c,636e33300e86372d005b585c,12,2014,10.7,153.9
636e33300e86372d005b585d,636e33300e86372d005b585d,1,2015,17.4,159.1
636e33300e86372d005b585e,636e33300e86372d005b585e,2,2015,21,155.7
636e33300e86372d005b585f,636e33300e86372d005b585f,3,2015,62,150.7
636e33300e86372d005b5860,636e33300e86372d005b5860,4,2015,69.4,151.4
636e33300e86372d005b5861,636e33300e86372d005b5861,5,2015,53.8,155.7
636e33300e86372d005b5862,636e33300e86372d005b5862,6,2015,192.8,170.2
636e33300e86372d005b5863,636e33300e86372d005b5863,7,2015,242.4,165.3
636e33300e86372d005b5864,636e33300e86372d005b5864,8,2015,205.2,164.8
636e33300e86372d005b5865,636e33300e86372d005b5865,9,2015,131.8,167.5
636e33300e86372d005b5866,636e33300e86372d005b5866,10,2015,42.9,173.5
636e33300e86372d005b5867,636e33300e86372d005b5867,11,2015,39.4,178.1
636e33300e86372d005b5868,636e33300e86372d005b5868,12,2015,15,168.8
636e33300e86372d005b5869,636e33300e86372d005b5869,1,2016,19.3,167.1
636e33300e86372d005b586a,636e33300e86372d005b586a,2,2016,22.8,161
636e33300e86372d005b586b,636e33300e86372d005b586b,3,2016,27.6,158.7
636e33300e86372d005b586c,636e33300e86372d005b586c,4,2016,37.4,162.2
636e33300e86372d005b586d,636e33300e86372d005b586d,5,2016,62.6,161.9
636e33300e86372d005b586e,636e33300e86372d005b586e,6,2016,168.3,155.4
636e33300e86372d005b586f,636e33300e86372d005b586f,7,2016,289.1,150.4
636e33300e86372d005b5870,636e33300e86372d005b5870,8,2016,256.3,143.5
636e33300e86372d005b5871,636e33300e86372d005b5871,9,2016,171.9,134.7
636e33300e86372d005b5872,636e33300e86372d005b5872,10,2016,76.1,131.6
636e33300e86372d005b5873,636e33300e86372d005b5873,11,2016,29.7,127.4
636e33300e86372d005b5874,636e33300e86372d005b5874,12,2016,14.9,122.7
636e33300e86372d005b5875,636e33300e86372d005b5875,1,2017,19,119.7
636e33300e86372d005b5876,636e33300e86372d005b5876,2,2017,22.6,116.9
636e33300e86372d005b5877,636e33300e86372d005b5877,3,2017,27.8,115.4
636e33300e86372d005b5878,636e33300e86372d005b5878,4,2017,37.9,120.8
636e33300e86372d005b5879,636e33300e86372d005b5879,5,2017,62.4,120.1
636e33300e86372d005b587a,636e33300e86372d005b587a,6,2017,168.1,116.8
636e33300e86372d005b587b,636e33300e86372d005b587b,7,2017,289.3,113
636e33300e86372d005b587c,636e33300e86372d005b587c,8,2017,256.2,112.6
636e33300e86372d005b587d,636e33300e86372d005b587d,9,2017,171.5,112.9
636e33300e86372d005b587e,636e33300e86372d005b587e,10,2017,76.3,111.5
636e33300e86372d005b587f,636e33300e86372d005b587f,11,2017,29.9,109.8
636e33300e86372d005b5880,636e33300e86372d005b5880,12,2017,15,110.7
636e33300e86372d005b5881,636e33300e86372d005b5881,1,2018,19.2,112.2
636e33300e86372d005b5882,636e33300e86372d005b5882,2,2018,20.1,113
636e33300e86372d005b5883,636e33300e86372d005b5883,3,2018,27.1,114.1
636e33300e86372d005b5884,636e33300e86372d005b5884,4,2018,40.2,111.5
636e33300e86372d005b5885,636e33300e86372d005b5885,5,2018,62.7,113
636e33300e86372d005b5886,636e33300e86372d005b5886,6,2018,165,112.4
636e33300e86372d005b5887,636e33300e86372d005b5887,7,2018,286.3,115
636e33300e86372d005b5888,636e33300e86372d005b5888,8,2018,254.3,118.9
636e33300e86372d005b5889,636e33300e86372d005b5889,9,2018,171.9,119.8
636e33300e86372d005b588a,636e33300e86372d005b588a,10,2018,77.2,118.1
636e33300e86372d005b588b,636e33300e86372d005b588b,11,2018,28.1,121.6
636e33300e86372d005b588c,636e33300e86372d005b588c,12,2018,14.1,123
