,_id,Month,Year,Rainfall,WPI
63bc2a63d226d0c57693c476,63bc2a63d226d0c57693c476,4,2012,47.5,116.4
63bc2a63d226d0c57693c477,63bc2a63d226d0c57693c477,5,2012,31.7,120.2
63bc2a63d226d0c57693c478,63bc2a63d226d0c57693c478,6,2012,117.8,124.4
63bc2a63d226d0c57693c479,63bc2a63d226d0c57693c479,7,2012,250.2,114
63bc2a63d226d0c57693c47a,63bc2a63d226d0c57693c47a,8,2012,262.4,125.2
63bc2a63d226d0c57693c47b,63bc2a63d226d0c57693c47b,9,2012,193.5,124.7
63bc2a63d226d0c57693c47c,63bc2a63d226d0c57693c47c,10,2012,58.7,119
63bc2a63d226d0c57693c47d,63bc2a63d226d0c57693c47d,11,2012,30.7,114.7
63bc2a63d226d0c57693c47e,63bc2a63d226d0c57693c47e,12,2012,11.7,112.5
63bc2a63d226d0c57693c47f,63bc2a63d226d0c57693c47f,1,2013,11.3,116.1
63bc2a63d226d0c57693c480,63bc2a63d226d0c57693c480,2,2013,40.1,116.1
63bc2a63d226d0c57693c481,63bc2a63d226d0c57693c481,3,2013,15.7,117.9
63bc2a63d226d0c57693c482,63bc2a63d226d0c57693c482,4,2013,30.4,117.9
63bc2a63d226d0c57693c483,63bc2a63d226d0c57693c483,5,2013,57.8,119.6
63bc2a63d226d0c57693c484,63bc2a63d226d0c57693c484,6,2013,219.8,117.4
63bc2a63d226d0c57693c485,63bc2a63d226d0c57693c485,7,2013,310,117.1
63bc2a63d226d0c57693c486,63bc2a63d226d0c57693c486,8,2013,254.7,116.5
63bc2a63d226d0c57693c487,63bc2a63d226d0c57693c487,9,2013,152.7,114.6
63bc2a63d226d0c57693c488,63bc2a63d226d0c57693c488,10,2013,129.4,115.5
63bc2a63d226d0c57693c489,63bc2a63d226d0c57693c489,11,2013,14,116.1
63bc2a63d226d0c57693c48a,63bc2a63d226d0c57693c48a,12,2013,6.7,116.6
63bc2a63d226d0c57693c48b,63bc2a63d226d0c57693c48b,1,2014,19.2,114.6
63bc2a63d226d0c57693c48c,63bc2a63d226d0c57693c48c,2,2014,27.4,112.6
63bc2a63d226d0c57693c48d,63bc2a63d226d0c57693c48d,3,2014,36.1,112.6
63bc2a63d226d0c57693c48e,63bc2a63d226d0c57693c48e,4,2014,22.2,114.3
