,_id,Month,Year,Rainfall ,WPI
63bc2a83d226d0c57693c4c8,63bc2a83d226d0c57693c4c8,4,2012,47.5,104.2
63bc2a83d226d0c57693c4c9,63bc2a83d226d0c57693c4c9,5,2012,31.7,104.2
63bc2a83d226d0c57693c4ca,63bc2a83d226d0c57693c4ca,6,2012,117.8,107
63bc2a83d226d0c57693c4cb,63bc2a83d226d0c57693c4cb,7,2012,250.2,111
63bc2a83d226d0c57693c4cc,63bc2a83d226d0c57693c4cc,8,2012,262.4,114
63bc2a83d226d0c57693c4cd,63bc2a83d226d0c57693c4cd,9,2012,193.5,116.1
63bc2a83d226d0c57693c4ce,63bc2a83d226d0c57693c4ce,10,2012,58.7,116.6
63bc2a83d226d0c57693c4cf,63bc2a83d226d0c57693c4cf,11,2012,30.7,116.3
63bc2a83d226d0c57693c4d0,63bc2a83d226d0c57693c4d0,12,2012,11.7,115.9
63bc2a83d226d0c57693c4d1,63bc2a83d226d0c57693c4d1,1,2013,11.3,116.7
63bc2a83d226d0c57693c4d2,63bc2a83d226d0c57693c4d2,2,2013,40.1,117.9
63bc2a83d226d0c57693c4d3,63bc2a83d226d0c57693c4d3,3,2013,15.7,118.7
63bc2a83d226d0c57693c4d4,63bc2a83d226d0c57693c4d4,4,2013,30.4,120.4
63bc2a83d226d0c57693c4d5,63bc2a83d226d0c57693c4d5,5,2013,57.8,121.9
63bc2a83d226d0c57693c4d6,63bc2a83d226d0c57693c4d6,6,2013,219.8,124.9
63bc2a83d226d0c57693c4d7,63bc2a83d226d0c57693c4d7,7,2013,310,129.4
63bc2a83d226d0c57693c4d8,63bc2a83d226d0c57693c4d8,8,2013,254.7,132
63bc2a83d226d0c57693c4d9,63bc2a83d226d0c57693c4d9,9,2013,152.7,131.3
63bc2a83d226d0c57693c4da,63bc2a83d226d0c57693c4da,10,2013,129.4,131
63bc2a83d226d0c57693c4db,63bc2a83d226d0c57693c4db,11,2013,14,131.3
63bc2a83d226d0c57693c4dc,63bc2a83d226d0c57693c4dc,12,2013,6.7,130.6
63bc2a83d226d0c57693c4dd,63bc2a83d226d0c57693c4dd,1,2014,19.2,131.1
63bc2a83d226d0c57693c4de,63bc2a83d226d0c57693c4de,2,2014,27.4,132.3
