,_id,Month,Year,Rainfall,WPI
63bc2aa9d226d0c57693c51a,63bc2aa9d226d0c57693c51a,4,2012,47.5,107.2
63bc2aa9d226d0c57693c51b,63bc2aa9d226d0c57693c51b,5,2012,31.7,110.3
63bc2aa9d226d0c57693c51c,63bc2aa9d226d0c57693c51c,6,2012,117.8,108.9
63bc2aa9d226d0c57693c51d,63bc2aa9d226d0c57693c51d,7,2012,250.2,115.6
63bc2aa9d226d0c57693c51e,63bc2aa9d226d0c57693c51e,8,2012,262.4,126.4
63bc2aa9d226d0c57693c51f,63bc2aa9d226d0c57693c51f,9,2012,193.5,134.1
63bc2aa9d226d0c57693c520,63bc2aa9d226d0c57693c520,10,2012,58.7,149.5
63bc2aa9d226d0c57693c521,63bc2aa9d226d0c57693c521,11,2012,30.7,161.5
63bc2aa9d226d0c57693c522,63bc2aa9d226d0c57693c522,12,2012,11.7,162.1
63bc2aa9d226d0c57693c523,63bc2aa9d226d0c57693c523,1,2013,11.3,159.7
63bc2aa9d226d0c57693c524,63bc2aa9d226d0c57693c524,2,2013,40.1,170.2
63bc2aa9d226d0c57693c525,63bc2aa9d226d0c57693c525,3,2013,15.7,173.8
63bc2aa9d226d0c57693c526,63bc2aa9d226d0c57693c526,4,2013,30.4,173.1
63bc2aa9d226d0c57693c527,63bc2aa9d226d0c57693c527,5,2013,57.8,172.9
63bc2aa9d226d0c57693c528,63bc2aa9d226d0c57693c528,6,2013,219.8,170.4
63bc2aa9d226d0c57693c529,63bc2aa9d226d0c57693c529,7,2013,310,174.2
63bc2aa9d226d0c57693c52a,63bc2aa9d226d0c57693c52a,8,2013,254.7,174.5
63bc2aa9d226d0c57693c52b,63bc2aa9d226d0c57693c52b,9,2013,152.7,169.9
63bc2aa9d226d0c57693c52c,63bc2aa9d226d0c57693c52c,10,2013,129.4,166.7
63bc2aa9d226d0c57693c52d,63bc2aa9d226d0c57693c52d,11,2013,14,167.2
63bc2aa9d226d0c57693c52e,63bc2aa9d226d0c57693c52e,12,2013,6.7,164.3
63bc2aa9d226d0c57693c52f,63bc2aa9d226d0c57693c52f,1,2014,19.2,156.6
63bc2aa9d226d0c57693c530,63bc2aa9d226d0c57693c530,2,2014,27.4,158.1
