,_id,Month,Year,Rainfall,WPI
636e33940e86372d005b5935,636e33940e86372d005b5935,4,2012,47.5,117.9
636e33940e86372d005b5936,636e33940e86372d005b5936,5,2012,31.7,118.4
636e33940e86372d005b5937,636e33940e86372d005b5937,6,2012,117.8,119.3
636e33940e86372d005b5938,636e33940e86372d005b5938,7,2012,250.2,129.5
636e33940e86372d005b5939,636e33940e86372d005b5939,8,2012,262.4,134.6
636e33940e86372d005b593a,636e33940e86372d005b593a,9,2012,193.5,136.7
636e33940e86372d005b593b,636e33940e86372d005b593b,10,2012,58.7,141
636e33940e86372d005b593c,636e33940e86372d005b593c,11,2012,30.7,142.2
636e33940e86372d005b593d,636e33940e86372d005b593d,12,2012,11.7,141.2
636e33940e86372d005b593e,636e33940e86372d005b593e,1,2013,11.3,138
636e33940e86372d005b593f,636e33940e86372d005b593f,2,2013,40.1,132.6
636e33940e86372d005b5940,636e33940e86372d005b5940,3,2013,15.7,121.6
636e33940e86372d005b5941,636e33940e86372d005b5941,4,2013,30.4,117.7
636e33940e86372d005b5942,636e33940e86372d005b5942,5,2013,57.8,117.4
636e33940e86372d005b5943,636e33940e86372d005b5943,6,2013,219.8,117.4
636e33940e86372d005b5944,636e33940e86372d005b5944,7,2013,310,116.5
636e33940e86372d005b5945,636e33940e86372d005b5945,8,2013,254.7,116.9
636e33940e86372d005b5946,636e33940e86372d005b5946,9,2013,152.7,119
636e33940e86372d005b5947,636e33940e86372d005b5947,10,2013,129.4,120.1
636e33940e86372d005b5948,636e33940e86372d005b5948,11,2013,14,122.9
636e33940e86372d005b5949,636e33940e86372d005b5949,12,2013,6.7,122.7
636e33940e86372d005b594a,636e33940e86372d005b594a,1,2014,19.2,120.4
636e33940e86372d005b594b,636e33940e86372d005b594b,2,2014,27.4,119.3
636e33940e86372d005b594c,636e33940e86372d005b594c,3,2014,36.1,118.5
636e33940e86372d005b594d,636e33940e86372d005b594d,4,2014,22.2,116.9
636e33940e86372d005b594e,636e33940e86372d005b594e,5,2014,72.9,115.9
636e33940e86372d005b594f,636e33940e86372d005b594f,6,2014,95.4,117.7
636e33940e86372d005b5950,636e33940e86372d005b5950,7,2014,261.2,121.1
636e33940e86372d005b5951,636e33940e86372d005b5951,8,2014,237.5,121
636e33940e86372d005b5952,636e33940e86372d005b5952,9,2014,188,122
636e33940e86372d005b5953,636e33940e86372d005b5953,10,2014,60.2,122.3
636e33940e86372d005b5954,636e33940e86372d005b5954,11,2014,14.4,124.3
636e33940e86372d005b5955,636e33940e86372d005b5955,12,2014,10.7,129.1
636e33940e86372d005b5956,636e33940e86372d005b5956,1,2015,17.4,127.1
636e33940e86372d005b5957,636e33940e86372d005b5957,2,2015,21,128
636e33940e86372d005b5958,636e33940e86372d005b5958,3,2015,62,126.7
636e33940e86372d005b5959,636e33940e86372d005b5959,4,2015,69.4,127.5
636e33940e86372d005b595a,636e33940e86372d005b595a,5,2015,53.8,138.6
636e33940e86372d005b595b,636e33940e86372d005b595b,6,2015,192.8,143
636e33940e86372d005b595c,636e33940e86372d005b595c,7,2015,242.4,143.8
636e33940e86372d005b595d,636e33940e86372d005b595d,8,2015,205.2,145.1
636e33940e86372d005b595e,636e33940e86372d005b595e,9,2015,131.8,148
636e33940e86372d005b595f,636e33940e86372d005b595f,10,2015,42.9,158.8
636e33940e86372d005b5960,636e33940e86372d005b5960,11,2015,39.4,163.2
636e33940e86372d005b5961,636e33940e86372d005b5961,12,2015,15,161.3
636e33940e86372d005b5962,636e33940e86372d005b5962,1,2016,19.3,154.3
636e33940e86372d005b5963,636e33940e86372d005b5963,2,2016,22.8,135.3
636e33940e86372d005b5964,636e33940e86372d005b5964,3,2016,27.6,132.3
636e33940e86372d005b5965,636e33940e86372d005b5965,4,2016,37.4,144.2
636e33940e86372d005b5966,636e33940e86372d005b5966,5,2016,62.6,147.4
636e33940e86372d005b5967,636e33940e86372d005b5967,6,2016,168.3,150.8
636e33940e86372d005b5968,636e33940e86372d005b5968,7,2016,289.1,155
636e33940e86372d005b5969,636e33940e86372d005b5969,8,2016,256.3,155.9
636e33940e86372d005b596a,636e33940e86372d005b596a,9,2016,171.9,155.5
636e33940e86372d005b596b,636e33940e86372d005b596b,10,2016,76.1,152.8
636e33940e86372d005b596c,636e33940e86372d005b596c,11,2016,29.7,153.5
636e33940e86372d005b596d,636e33940e86372d005b596d,12,2016,14.9,151.2
636e33940e86372d005b596e,636e33940e86372d005b596e,1,2017,19,147.7
636e33940e86372d005b596f,636e33940e86372d005b596f,2,2017,22.6,143.4
636e33940e86372d005b5970,636e33940e86372d005b5970,3,2017,27.8,135.3
636e33940e86372d005b5971,636e33940e86372d005b5971,4,2017,37.9,130.6
636e33940e86372d005b5972,636e33940e86372d005b5972,5,2017,62.4,130.7
