,_id,Month,Year,Rainfall,WPI
636e47ef0e86372d005b5b98,636e47ef0e86372d005b5b98,4,2012,47.5,103.9
636e47ef0e86372d005b5b99,636e47ef0e86372d005b5b99,5,2012,31.7,110.9
636e47ef0e86372d005b5b9a,636e47ef0e86372d005b5b9a,6,2012,117.8,112.7
636e47ef0e86372d005b5b9b,636e47ef0e86372d005b5b9b,7,2012,250.2,116.1
636e47ef0e86372d005b5b9c,636e47ef0e86372d005b5b9c,8,2012,262.4,118.1
636e47ef0e86372d005b5b9d,636e47ef0e86372d005b5b9d,9,2012,193.5,120.3
636e47ef0e86372d005b5b9e,636e47ef0e86372d005b5b9e,10,2012,58.7,117.8
636e47ef0e86372d005b5b9f,636e47ef0e86372d005b5b9f,11,2012,30.7,114.8
636e47ef0e86372d005b5ba0,636e47ef0e86372d005b5ba0,12,2012,11.7,114.8
636e47ef0e86372d005b5ba1,636e47ef0e86372d005b5ba1,1,2013,11.3,112.8
636e47ef0e86372d005b5ba2,636e47ef0e86372d005b5ba2,2,2013,40.1,115.7
636e47ef0e86372d005b5ba3,636e47ef0e86372d005b5ba3,3,2013,15.7,115.2
636e47ef0e86372d005b5ba4,636e47ef0e86372d005b5ba4,4,2013,30.4,119.4
636e47ef0e86372d005b5ba5,636e47ef0e86372d005b5ba5,5,2013,57.8,115.9
636e47ef0e86372d005b5ba6,636e47ef0e86372d005b5ba6,6,2013,219.8,118.9
636e47ef0e86372d005b5ba7,636e47ef0e86372d005b5ba7,7,2013,310,118.9
636e47ef0e86372d005b5ba8,636e47ef0e86372d005b5ba8,8,2013,254.7,114.6
636e47ef0e86372d005b5ba9,636e47ef0e86372d005b5ba9,9,2013,152.7,112.8
636e47ef0e86372d005b5baa,636e47ef0e86372d005b5baa,10,2013,129.4,112.3
636e47ef0e86372d005b5bab,636e47ef0e86372d005b5bab,11,2013,14,112.7
636e47ef0e86372d005b5bac,636e47ef0e86372d005b5bac,12,2013,6.7,112.1
636e47ef0e86372d005b5bad,636e47ef0e86372d005b5bad,1,2014,19.2,108.2
636e47ef0e86372d005b5bae,636e47ef0e86372d005b5bae,2,2014,27.4,107.1
636e47ef0e86372d005b5baf,636e47ef0e86372d005b5baf,3,2014,36.1,112
636e47ef0e86372d005b5bb0,636e47ef0e86372d005b5bb0,4,2014,22.2,125.4
636e47ef0e86372d005b5bb1,636e47ef0e86372d005b5bb1,5,2014,72.9,124.5
636e47ef0e86372d005b5bb2,636e47ef0e86372d005b5bb2,6,2014,95.4,93.2
636e47ef0e86372d005b5bb3,636e47ef0e86372d005b5bb3,7,2014,261.2,94.8
636e47ef0e86372d005b5bb4,636e47ef0e86372d005b5bb4,8,2014,237.5,94.1
636e47ef0e86372d005b5bb5,636e47ef0e86372d005b5bb5,9,2014,188,94.3
636e47ef0e86372d005b5bb6,636e47ef0e86372d005b5bb6,10,2014,60.2,93
636e47ef0e86372d005b5bb7,636e47ef0e86372d005b5bb7,11,2014,14.4,92.3
636e47ef0e86372d005b5bb8,636e47ef0e86372d005b5bb8,12,2014,10.7,93.4
636e47ef0e86372d005b5bb9,636e47ef0e86372d005b5bb9,1,2015,17.4,93.7
636e47ef0e86372d005b5bba,636e47ef0e86372d005b5bba,2,2015,21,94.8
