,_id,Month,Year,Rainfall,WPI
636e33e50e86372d005b59db,636e33e50e86372d005b59db,4,2012,47.5,123.7
636e33e50e86372d005b59dc,636e33e50e86372d005b59dc,5,2012,31.7,122.1
636e33e50e86372d005b59dd,636e33e50e86372d005b59dd,6,2012,117.8,120.4
636e33e50e86372d005b59de,636e33e50e86372d005b59de,7,2012,250.2,125.6
636e33e50e86372d005b59df,636e33e50e86372d005b59df,8,2012,262.4,134.8
636e33e50e86372d005b59e0,636e33e50e86372d005b59e0,9,2012,193.5,137.9
636e33e50e86372d005b59e1,636e33e50e86372d005b59e1,10,2012,58.7,138.1
636e33e50e86372d005b59e2,636e33e50e86372d005b59e2,11,2012,30.7,143.3
636e33e50e86372d005b59e3,636e33e50e86372d005b59e3,12,2012,11.7,149.7
636e33e50e86372d005b59e4,636e33e50e86372d005b59e4,1,2013,11.3,159.3
636e33e50e86372d005b59e5,636e33e50e86372d005b59e5,2,2013,40.1,161.2
636e33e50e86372d005b59e6,636e33e50e86372d005b59e6,3,2013,15.7,161.6
636e33e50e86372d005b59e7,636e33e50e86372d005b59e7,4,2013,30.4,160.5
636e33e50e86372d005b59e8,636e33e50e86372d005b59e8,5,2013,57.8,155.2
636e33e50e86372d005b59e9,636e33e50e86372d005b59e9,6,2013,219.8,155
636e33e50e86372d005b59ea,636e33e50e86372d005b59ea,7,2013,310,157.2
636e33e50e86372d005b59eb,636e33e50e86372d005b59eb,8,2013,254.7,157.2
636e33e50e86372d005b59ec,636e33e50e86372d005b59ec,9,2013,152.7,159.6
636e33e50e86372d005b59ed,636e33e50e86372d005b59ed,10,2013,129.4,149.7
636e33e50e86372d005b59ee,636e33e50e86372d005b59ee,11,2013,14,159.7
636e33e50e86372d005b59ef,636e33e50e86372d005b59ef,12,2013,6.7,164.5
636e33e50e86372d005b59f0,636e33e50e86372d005b59f0,1,2014,19.2,147.8
636e33e50e86372d005b59f1,636e33e50e86372d005b59f1,2,2014,27.4,142.5
636e33e50e86372d005b59f2,636e33e50e86372d005b59f2,3,2014,36.1,145.4
636e33e50e86372d005b59f3,636e33e50e86372d005b59f3,4,2014,22.2,147.1
636e33e50e86372d005b59f4,636e33e50e86372d005b59f4,5,2014,72.9,140.8
636e33e50e86372d005b59f5,636e33e50e86372d005b59f5,6,2014,95.4,138.7
636e33e50e86372d005b59f6,636e33e50e86372d005b59f6,7,2014,261.2,138.5
636e33e50e86372d005b59f7,636e33e50e86372d005b59f7,8,2014,237.5,141.9
636e33e50e86372d005b59f8,636e33e50e86372d005b59f8,9,2014,188,136.8
636e33e50e86372d005b59f9,636e33e50e86372d005b59f9,10,2014,60.2,136
636e33e50e86372d005b59fa,636e33e50e86372d005b59fa,11,2014,14.4,130.2
636e33e50e86372d005b59fb,636e33e50e86372d005b59fb,12,2014,10.7,127.6
636e33e50e86372d005b59fc,636e33e50e86372d005b59fc,1,2015,17.4,125.5
636e33e50e86372d005b59fd,636e33e50e86372d005b59fd,2,2015,21,121.9
636e33e50e86372d005b59fe,636e33e50e86372d005b59fe,3,2015,62,119.8
636e33e50e86372d005b59ff,636e33e50e86372d005b59ff,4,2015,69.4,116.3
636e33e50e86372d005b5a00,636e33e50e86372d005b5a00,5,2015,53.8,112.9
636e33e50e86372d005b5a01,636e33e50e86372d005b5a01,6,2015,192.8,116.1
636e33e50e86372d005b5a02,636e33e50e86372d005b5a02,7,2015,242.4,116.1
636e33e50e86372d005b5a03,636e33e50e86372d005b5a03,8,2015,205.2,114.6
636e33e50e86372d005b5a04,636e33e50e86372d005b5a04,9,2015,131.8,110.5
636e33e50e86372d005b5a05,636e33e50e86372d005b5a05,10,2015,42.9,110.1
636e33e50e86372d005b5a06,636e33e50e86372d005b5a06,11,2015,39.4,109.5
636e33e50e86372d005b5a07,636e33e50e86372d005b5a07,12,2015,15,108
636e33e50e86372d005b5a08,636e33e50e86372d005b5a08,1,2016,19.3,108.5
636e33e50e86372d005b5a09,636e33e50e86372d005b5a09,2,2016,22.8,105.7
636e33e50e86372d005b5a0a,636e33e50e86372d005b5a0a,3,2016,27.6,104.7
636e33e50e86372d005b5a0b,636e33e50e86372d005b5a0b,4,2016,37.4,119.2
636e33e50e86372d005b5a0c,636e33e50e86372d005b5a0c,5,2016,62.6,119.6
636e33e50e86372d005b5a0d,636e33e50e86372d005b5a0d,6,2016,168.3,117.2
636e33e50e86372d005b5a0e,636e33e50e86372d005b5a0e,7,2016,289.1,116
636e33e50e86372d005b5a0f,636e33e50e86372d005b5a0f,8,2016,256.3,123.7
636e33e50e86372d005b5a10,636e33e50e86372d005b5a10,9,2016,171.9,122.6
636e33e50e86372d005b5a11,636e33e50e86372d005b5a11,10,2016,76.1,118.5
636e33e50e86372d005b5a12,636e33e50e86372d005b5a12,11,2016,29.7,118.8
636e33e50e86372d005b5a13,636e33e50e86372d005b5a13,12,2016,14.9,117.3
636e33e50e86372d005b5a14,636e33e50e86372d005b5a14,1,2017,19,116.4
636e33e50e86372d005b5a15,636e33e50e86372d005b5a15,2,2017,22.6,117.8
636e33e50e86372d005b5a16,636e33e50e86372d005b5a16,3,2017,27.8,115.6
636e33e50e86372d005b5a17,636e33e50e86372d005b5a17,4,2017,37.9,116.4
636e33e50e86372d005b5a18,636e33e50e86372d005b5a18,5,2017,62.4,116.3
636e33e50e86372d005b5a19,636e33e50e86372d005b5a19,6,2017,168.1,114.3
636e33e50e86372d005b5a1a,636e33e50e86372d005b5a1a,7,2017,289.3,113.2
636e33e50e86372d005b5a1b,636e33e50e86372d005b5a1b,8,2017,256.2,115.9
636e33e50e86372d005b5a1c,636e33e50e86372d005b5a1c,9,2017,171.5,119.7
636e33e50e86372d005b5a1d,636e33e50e86372d005b5a1d,10,2017,76.3,118.5
636e33e50e86372d005b5a1e,636e33e50e86372d005b5a1e,11,2017,29.9,120.4
636e33e50e86372d005b5a1f,636e33e50e86372d005b5a1f,12,2017,15,128.3
636e33e50e86372d005b5a20,636e33e50e86372d005b5a20,1,2018,19.2,132.2
636e33e50e86372d005b5a21,636e33e50e86372d005b5a21,2,2018,20.1,133.4
636e33e50e86372d005b5a22,636e33e50e86372d005b5a22,3,2018,27.1,130.1
636e33e50e86372d005b5a23,636e33e50e86372d005b5a23,4,2018,40.2,128.1
636e33e50e86372d005b5a24,636e33e50e86372d005b5a24,5,2018,62.7,126.8
636e33e50e86372d005b5a25,636e33e50e86372d005b5a25,6,2018,165,128.1
636e33e50e86372d005b5a26,636e33e50e86372d005b5a26,7,2018,286.3,130
636e33e50e86372d005b5a27,636e33e50e86372d005b5a27,8,2018,254.3,133.9
636e33e50e86372d005b5a28,636e33e50e86372d005b5a28,9,2018,171.9,141.3
636e33e50e86372d005b5a29,636e33e50e86372d005b5a29,10,2018,77.2,150.1
636e33e50e86372d005b5a2a,636e33e50e86372d005b5a2a,11,2018,28.1,160.8
636e33e50e86372d005b5a2b,636e33e50e86372d005b5a2b,12,2018,14.1,168.8
