,_id,Month,Year,Rainfall,WPI
636e34050e86372d005b5a2e,636e34050e86372d005b5a2e,4,2012,47.5,131
636e34050e86372d005b5a2f,636e34050e86372d005b5a2f,5,2012,31.7,139.6
636e34050e86372d005b5a30,636e34050e86372d005b5a30,6,2012,117.8,144.8
636e34050e86372d005b5a31,636e34050e86372d005b5a31,7,2012,250.2,182.7
636e34050e86372d005b5a32,636e34050e86372d005b5a32,8,2012,262.4,183.8
636e34050e86372d005b5a33,636e34050e86372d005b5a33,9,2012,193.5,166.2
636e34050e86372d005b5a34,636e34050e86372d005b5a34,10,2012,58.7,134.2
636e34050e86372d005b5a35,636e34050e86372d005b5a35,11,2012,30.7,140.1
636e34050e86372d005b5a36,636e34050e86372d005b5a36,12,2012,11.7,142.6
636e34050e86372d005b5a37,636e34050e86372d005b5a37,1,2013,11.3,139
636e34050e86372d005b5a38,636e34050e86372d005b5a38,2,2013,40.1,137.7
636e34050e86372d005b5a39,636e34050e86372d005b5a39,3,2013,15.7,150.9
636e34050e86372d005b5a3a,636e34050e86372d005b5a3a,4,2013,30.4,163
636e34050e86372d005b5a3b,636e34050e86372d005b5a3b,5,2013,57.8,164.4
636e34050e86372d005b5a3c,636e34050e86372d005b5a3c,6,2013,219.8,156.7
636e34050e86372d005b5a3d,636e34050e86372d005b5a3d,7,2013,310,153.5
636e34050e86372d005b5a3e,636e34050e86372d005b5a3e,8,2013,254.7,148
636e34050e86372d005b5a3f,636e34050e86372d005b5a3f,9,2013,152.7,148.1
636e34050e86372d005b5a40,636e34050e86372d005b5a40,10,2013,129.4,147
636e34050e86372d005b5a41,636e34050e86372d005b5a41,11,2013,14,160.3
636e34050e86372d005b5a42,636e34050e86372d005b5a42,12,2013,6.7,160.1
636e34050e86372d005b5a43,636e34050e86372d005b5a43,1,2014,19.2,157.8
636e34050e86372d005b5a44,636e34050e86372d005b5a44,2,2014,27.4,162
636e34050e86372d005b5a45,636e34050e86372d005b5a45,3,2014,36.1,169.5
636e34050e86372d005b5a46,636e34050e86372d005b5a46,4,2014,22.2,175.6
636e34050e86372d005b5a47,636e34050e86372d005b5a47,5,2014,72.9,188.5
636e34050e86372d005b5a48,636e34050e86372d005b5a48,6,2014,95.4,175.5
636e34050e86372d005b5a49,636e34050e86372d005b5a49,7,2014,261.2,175.9
636e34050e86372d005b5a4a,636e34050e86372d005b5a4a,8,2014,237.5,162.4
636e34050e86372d005b5a4b,636e34050e86372d005b5a4b,9,2014,188,141.8
636e34050e86372d005b5a4c,636e34050e86372d005b5a4c,10,2014,60.2,131.6
636e34050e86372d005b5a4d,636e34050e86372d005b5a4d,11,2014,14.4,135
636e34050e86372d005b5a4e,636e34050e86372d005b5a4e,12,2014,10.7,140.8
636e34050e86372d005b5a4f,636e34050e86372d005b5a4f,1,2015,17.4,144.6
636e34050e86372d005b5a50,636e34050e86372d005b5a50,2,2015,21,142.2
636e34050e86372d005b5a51,636e34050e86372d005b5a51,3,2015,62,141.3
636e34050e86372d005b5a52,636e34050e86372d005b5a52,4,2015,69.4,145.5
636e34050e86372d005b5a53,636e34050e86372d005b5a53,5,2015,53.8,166.2
636e34050e86372d005b5a54,636e34050e86372d005b5a54,6,2015,192.8,155.6
636e34050e86372d005b5a55,636e34050e86372d005b5a55,7,2015,242.4,147.1
636e34050e86372d005b5a56,636e34050e86372d005b5a56,8,2015,205.2,139.2
636e34050e86372d005b5a57,636e34050e86372d005b5a57,9,2015,131.8,139.2
636e34050e86372d005b5a58,636e34050e86372d005b5a58,10,2015,42.9,156.9
636e34050e86372d005b5a59,636e34050e86372d005b5a59,11,2015,39.4,158.3
636e34050e86372d005b5a5a,636e34050e86372d005b5a5a,12,2015,15,152.2
636e34050e86372d005b5a5b,636e34050e86372d005b5a5b,1,2016,19.3,151.3
636e34050e86372d005b5a5c,636e34050e86372d005b5a5c,2,2016,22.8,150.2
636e34050e86372d005b5a5d,636e34050e86372d005b5a5d,3,2016,27.6,151.4
636e34050e86372d005b5a5e,636e34050e86372d005b5a5e,4,2016,37.4,167.5
636e34050e86372d005b5a5f,636e34050e86372d005b5a5f,5,2016,62.6,162.4
636e34050e86372d005b5a60,636e34050e86372d005b5a60,6,2016,168.3,165.1
636e34050e86372d005b5a61,636e34050e86372d005b5a61,7,2016,289.1,158.7
636e34050e86372d005b5a62,636e34050e86372d005b5a62,8,2016,256.3,156.3
636e34050e86372d005b5a63,636e34050e86372d005b5a63,9,2016,171.9,149.3
636e34050e86372d005b5a64,636e34050e86372d005b5a64,10,2016,76.1,132.3
636e34050e86372d005b5a65,636e34050e86372d005b5a65,11,2016,29.7,126.2
636e34050e86372d005b5a66,636e34050e86372d005b5a66,12,2016,14.9,128.9
636e34050e86372d005b5a67,636e34050e86372d005b5a67,1,2017,19,127.8
636e34050e86372d005b5a68,636e34050e86372d005b5a68,2,2017,22.6,126
636e34050e86372d005b5a69,636e34050e86372d005b5a69,3,2017,27.8,124.9
636e34050e86372d005b5a6a,636e34050e86372d005b5a6a,4,2017,37.9,126.8
636e34050e86372d005b5a6b,636e34050e86372d005b5a6b,5,2017,62.4,123.4
636e34050e86372d005b5a6c,636e34050e86372d005b5a6c,6,2017,168.1,121.2
636e34050e86372d005b5a6d,636e34050e86372d005b5a6d,7,2017,289.3,121.6
636e34050e86372d005b5a6e,636e34050e86372d005b5a6e,8,2017,256.2,122.8
636e34050e86372d005b5a6f,636e34050e86372d005b5a6f,9,2017,171.5,124.8
636e34050e86372d005b5a70,636e34050e86372d005b5a70,10,2017,76.3,126
636e34050e86372d005b5a71,636e34050e86372d005b5a71,11,2017,29.9,122.2
636e34050e86372d005b5a72,636e34050e86372d005b5a72,12,2017,15,125.3
636e34050e86372d005b5a73,636e34050e86372d005b5a73,1,2018,19.2,136.6
636e34050e86372d005b5a74,636e34050e86372d005b5a74,2,2018,20.1,152.2
636e34050e86372d005b5a75,636e34050e86372d005b5a75,3,2018,27.1,156
636e34050e86372d005b5a76,636e34050e86372d005b5a76,4,2018,40.2,157.5
636e34050e86372d005b5a77,636e34050e86372d005b5a77,5,2018,62.7,155.9
636e34050e86372d005b5a78,636e34050e86372d005b5a78,6,2018,165,153.1
636e34050e86372d005b5a79,636e34050e86372d005b5a79,7,2018,286.3,150.1
636e34050e86372d005b5a7a,636e34050e86372d005b5a7a,8,2018,254.3,147.1
636e34050e86372d005b5a7b,636e34050e86372d005b5a7b,9,2018,171.9,142.9
636e34050e86372d005b5a7c,636e34050e86372d005b5a7c,10,2018,77.2,140.2
636e34050e86372d005b5a7d,636e34050e86372d005b5a7d,11,2018,28.1,141.6
636e34050e86372d005b5a7e,636e34050e86372d005b5a7e,12,2018,14.1,143.9
