,_id,Month,Year,Rainfall,WPI
63bc2b28d226d0c57693c6b4,63bc2b28d226d0c57693c6b4,4,2012,47.5,100
63bc2b28d226d0c57693c6b5,63bc2b28d226d0c57693c6b5,5,2012,31.7,100
63bc2b28d226d0c57693c6b6,63bc2b28d226d0c57693c6b6,6,2012,117.8,103.9
63bc2b28d226d0c57693c6b7,63bc2b28d226d0c57693c6b7,7,2012,250.2,101.2
63bc2b28d226d0c57693c6b8,63bc2b28d226d0c57693c6b8,8,2012,262.4,104.9
63bc2b28d226d0c57693c6b9,63bc2b28d226d0c57693c6b9,9,2012,193.5,104.9
63bc2b28d226d0c57693c6ba,63bc2b28d226d0c57693c6ba,10,2012,58.7,104.9
63bc2b28d226d0c57693c6bb,63bc2b28d226d0c57693c6bb,11,2012,30.7,104.9
63bc2b28d226d0c57693c6bc,63bc2b28d226d0c57693c6bc,12,2012,11.7,104.9
63bc2b28d226d0c57693c6bd,63bc2b28d226d0c57693c6bd,1,2013,11.3,104.9
63bc2b28d226d0c57693c6be,63bc2b28d226d0c57693c6be,2,2013,40.1,104.9
63bc2b28d226d0c57693c6bf,63bc2b28d226d0c57693c6bf,3,2013,15.7,104.9
63bc2b28d226d0c57693c6c0,63bc2b28d226d0c57693c6c0,4,2013,30.4,104.9
63bc2b28d226d0c57693c6c1,63bc2b28d226d0c57693c6c1,5,2013,57.8,104.9
63bc2b28d226d0c57693c6c2,63bc2b28d226d0c57693c6c2,6,2013,219.8,104.9
63bc2b28d226d0c57693c6c3,63bc2b28d226d0c57693c6c3,7,2013,310,104.9
63bc2b28d226d0c57693c6c4,63bc2b28d226d0c57693c6c4,8,2013,254.7,104.9
63bc2b28d226d0c57693c6c5,63bc2b28d226d0c57693c6c5,9,2013,152.7,104.9
63bc2b28d226d0c57693c6c6,63bc2b28d226d0c57693c6c6,10,2013,129.4,109.4
63bc2b28d226d0c57693c6c7,63bc2b28d226d0c57693c6c7,11,2013,14,124.3
63bc2b28d226d0c57693c6c8,63bc2b28d226d0c57693c6c8,12,2013,6.7,124.3
63bc2b28d226d0c57693c6c9,63bc2b28d226d0c57693c6c9,1,2014,19.2,124.3
63bc2b28d226d0c57693c6ca,63bc2b28d226d0c57693c6ca,2,2014,27.4,124.3
63bc2b28d226d0c57693c6cb,63bc2b28d226d0c57693c6cb,3,2014,36.1,124.3
63bc2b28d226d0c57693c6cc,63bc2b28d226d0c57693c6cc,4,2014,22.2,124.3
63bc2b28d226d0c57693c6cd,63bc2b28d226d0c57693c6cd,5,2014,72.9,124.3
63bc2b28d226d0c57693c6ce,63bc2b28d226d0c57693c6ce,6,2014,95.4,124.3
63bc2b28d226d0c57693c6cf,63bc2b28d226d0c57693c6cf,7,2014,261.2,124.3
63bc2b28d226d0c57693c6d0,63bc2b28d226d0c57693c6d0,8,2014,237.5,124.3
63bc2b28d226d0c57693c6d1,63bc2b28d226d0c57693c6d1,9,2014,188,124.3
63bc2b28d226d0c57693c6d2,63bc2b28d226d0c57693c6d2,10,2014,60.2,124.3
63bc2b28d226d0c57693c6d3,63bc2b28d226d0c57693c6d3,11,2014,14.4,124.3
63bc2b28d226d0c57693c6d4,63bc2b28d226d0c57693c6d4,12,2014,10.7,124.3
63bc2b28d226d0c57693c6d5,63bc2b28d226d0c57693c6d5,1,2015,17.4,124.3
63bc2b28d226d0c57693c6d6,63bc2b28d226d0c57693c6d6,2,2015,21,124.3
63bc2b28d226d0c57693c6d7,63bc2b28d226d0c57693c6d7,3,2015,62,124.3
63bc2b28d226d0c57693c6d8,63bc2b28d226d0c57693c6d8,4,2015,69.4,150.3
63bc2b28d226d0c57693c6d9,63bc2b28d226d0c57693c6d9,5,2015,53.8,150.3
63bc2b28d226d0c57693c6da,63bc2b28d226d0c57693c6da,6,2015,192.8,150.3
63bc2b28d226d0c57693c6db,63bc2b28d226d0c57693c6db,7,2015,242.4,150.3
63bc2b28d226d0c57693c6dc,63bc2b28d226d0c57693c6dc,8,2015,205.2,150.3
63bc2b28d226d0c57693c6dd,63bc2b28d226d0c57693c6dd,9,2015,131.8,150.3
63bc2b28d226d0c57693c6de,63bc2b28d226d0c57693c6de,10,2015,42.9,150.3
63bc2b28d226d0c57693c6df,63bc2b28d226d0c57693c6df,11,2015,39.4,150.3
63bc2b28d226d0c57693c6e0,63bc2b28d226d0c57693c6e0,12,2015,15,150.3
63bc2b28d226d0c57693c6e1,63bc2b28d226d0c57693c6e1,1,2016,19.3,159.7
63bc2b28d226d0c57693c6e2,63bc2b28d226d0c57693c6e2,2,2016,22.8,159.7
63bc2b28d226d0c57693c6e3,63bc2b28d226d0c57693c6e3,3,2016,27.6,159.7
63bc2b28d226d0c57693c6e4,63bc2b28d226d0c57693c6e4,4,2016,37.4,159.7
63bc2b28d226d0c57693c6e5,63bc2b28d226d0c57693c6e5,5,2016,62.6,159.7
63bc2b28d226d0c57693c6e6,63bc2b28d226d0c57693c6e6,6,2016,168.3,159.7
63bc2b28d226d0c57693c6e7,63bc2b28d226d0c57693c6e7,7,2016,289.1,159.7
63bc2b28d226d0c57693c6e8,63bc2b28d226d0c57693c6e8,8,2016,256.3,159.7
63bc2b28d226d0c57693c6e9,63bc2b28d226d0c57693c6e9,9,2016,171.9,159.7
63bc2b28d226d0c57693c6ea,63bc2b28d226d0c57693c6ea,10,2016,76.1,164.4
63bc2b28d226d0c57693c6eb,63bc2b28d226d0c57693c6eb,11,2016,29.7,167.6
63bc2b28d226d0c57693c6ec,63bc2b28d226d0c57693c6ec,12,2016,14.9,167.6
63bc2b28d226d0c57693c6ed,63bc2b28d226d0c57693c6ed,1,2017,19,167.6
63bc2b28d226d0c57693c6ee,63bc2b28d226d0c57693c6ee,2,2017,22.6,167.6
63bc2b28d226d0c57693c6ef,63bc2b28d226d0c57693c6ef,3,2017,27.8,167.6
63bc2b28d226d0c57693c6f0,63bc2b28d226d0c57693c6f0,4,2017,37.9,167.6
63bc2b28d226d0c57693c6f1,63bc2b28d226d0c57693c6f1,5,2017,62.4,167.6
63bc2b28d226d0c57693c6f2,63bc2b28d226d0c57693c6f2,6,2017,168.1,167.6
63bc2b28d226d0c57693c6f3,63bc2b28d226d0c57693c6f3,7,2017,289.3,167.6
63bc2b28d226d0c57693c6f4,63bc2b28d226d0c57693c6f4,8,2017,256.2,167.6
63bc2b28d226d0c57693c6f5,63bc2b28d226d0c57693c6f5,9,2017,171.5,167.6
