,_id,Month,Year,Rainfall,WPI
636e33b40e86372d005b5988,636e33b40e86372d005b5988,4,2012,47.5,101.9
636e33b40e86372d005b5989,636e33b40e86372d005b5989,5,2012,31.7,101.7
636e33b40e86372d005b598a,636e33b40e86372d005b598a,6,2012,117.8,104.8
636e33b40e86372d005b598b,636e33b40e86372d005b598b,7,2012,250.2,112.8
636e33b40e86372d005b598c,636e33b40e86372d005b598c,8,2012,262.4,118.4
636e33b40e86372d005b598d,636e33b40e86372d005b598d,9,2012,193.5,113.7
636e33b40e86372d005b598e,636e33b40e86372d005b598e,10,2012,58.7,115.3
636e33b40e86372d005b598f,636e33b40e86372d005b598f,11,2012,30.7,117.4
636e33b40e86372d005b5990,636e33b40e86372d005b5990,12,2012,11.7,116
636e33b40e86372d005b5991,636e33b40e86372d005b5991,1,2013,11.3,115
636e33b40e86372d005b5992,636e33b40e86372d005b5992,2,2013,40.1,116.1
636e33b40e86372d005b5993,636e33b40e86372d005b5993,3,2013,15.7,111.1
636e33b40e86372d005b5994,636e33b40e86372d005b5994,4,2013,30.4,111.9
636e33b40e86372d005b5995,636e33b40e86372d005b5995,5,2013,57.8,111.8
636e33b40e86372d005b5996,636e33b40e86372d005b5996,6,2013,219.8,118
636e33b40e86372d005b5997,636e33b40e86372d005b5997,7,2013,310,112.3
636e33b40e86372d005b5998,636e33b40e86372d005b5998,8,2013,254.7,121.9
636e33b40e86372d005b5999,636e33b40e86372d005b5999,9,2013,152.7,117.6
636e33b40e86372d005b599a,636e33b40e86372d005b599a,10,2013,129.4,114.4
636e33b40e86372d005b599b,636e33b40e86372d005b599b,11,2013,14,112.1
636e33b40e86372d005b599c,636e33b40e86372d005b599c,12,2013,6.7,114.5
636e33b40e86372d005b599d,636e33b40e86372d005b599d,1,2014,19.2,110.4
636e33b40e86372d005b599e,636e33b40e86372d005b599e,2,2014,27.4,112.2
636e33b40e86372d005b599f,636e33b40e86372d005b599f,3,2014,36.1,114.5
636e33b40e86372d005b59a0,636e33b40e86372d005b59a0,4,2014,22.2,109.9
636e33b40e86372d005b59a1,636e33b40e86372d005b59a1,5,2014,72.9,108.8
636e33b40e86372d005b59a2,636e33b40e86372d005b59a2,6,2014,95.4,111.1
636e33b40e86372d005b59a3,636e33b40e86372d005b59a3,7,2014,261.2,106.6
636e33b40e86372d005b59a4,636e33b40e86372d005b59a4,8,2014,237.5,110.4
636e33b40e86372d005b59a5,636e33b40e86372d005b59a5,9,2014,188,108.2
636e33b40e86372d005b59a6,636e33b40e86372d005b59a6,10,2014,60.2,110.1
636e33b40e86372d005b59a7,636e33b40e86372d005b59a7,11,2014,14.4,107.3
636e33b40e86372d005b59a8,636e33b40e86372d005b59a8,12,2014,10.7,107.2
636e33b40e86372d005b59a9,636e33b40e86372d005b59a9,1,2015,17.4,108
636e33b40e86372d005b59aa,636e33b40e86372d005b59aa,2,2015,21,109.8
636e33b40e86372d005b59ab,636e33b40e86372d005b59ab,3,2015,62,106.9
636e33b40e86372d005b59ac,636e33b40e86372d005b59ac,4,2015,69.4,105.8
636e33b40e86372d005b59ad,636e33b40e86372d005b59ad,5,2015,53.8,110.2
636e33b40e86372d005b59ae,636e33b40e86372d005b59ae,6,2015,192.8,109.4
636e33b40e86372d005b59af,636e33b40e86372d005b59af,7,2015,242.4,109
636e33b40e86372d005b59b0,636e33b40e86372d005b59b0,8,2015,205.2,112.6
636e33b40e86372d005b59b1,636e33b40e86372d005b59b1,9,2015,131.8,116.4
636e33b40e86372d005b59b2,636e33b40e86372d005b59b2,10,2015,42.9,117.1
636e33b40e86372d005b59b3,636e33b40e86372d005b59b3,11,2015,39.4,119.1
636e33b40e86372d005b59b4,636e33b40e86372d005b59b4,12,2015,15,119.7
636e33b40e86372d005b59b5,636e33b40e86372d005b59b5,1,2016,19.3,118.5
636e33b40e86372d005b59b6,636e33b40e86372d005b59b6,2,2016,22.8,118.1
636e33b40e86372d005b59b7,636e33b40e86372d005b59b7,3,2016,27.6,118.1
636e33b40e86372d005b59b8,636e33b40e86372d005b59b8,4,2016,37.4,115.5
636e33b40e86372d005b59b9,636e33b40e86372d005b59b9,5,2016,62.6,114.3
636e33b40e86372d005b59ba,636e33b40e86372d005b59ba,6,2016,168.3,112.7
636e33b40e86372d005b59bb,636e33b40e86372d005b59bb,7,2016,289.1,112.5
636e33b40e86372d005b59bc,636e33b40e86372d005b59bc,8,2016,256.3,112
636e33b40e86372d005b59bd,636e33b40e86372d005b59bd,9,2016,171.9,113.5
636e33b40e86372d005b59be,636e33b40e86372d005b59be,10,2016,76.1,113
636e33b40e86372d005b59bf,636e33b40e86372d005b59bf,11,2016,29.7,110.1
636e33b40e86372d005b59c0,636e33b40e86372d005b59c0,12,2016,14.9,109.4
636e33b40e86372d005b59c1,636e33b40e86372d005b59c1,1,2017,19,110
636e33b40e86372d005b59c2,636e33b40e86372d005b59c2,2,2017,22.6,108.5
636e33b40e86372d005b59c3,636e33b40e86372d005b59c3,3,2017,27.8,106.8
636e33b40e86372d005b59c4,636e33b40e86372d005b59c4,4,2017,37.9,104.2
636e33b40e86372d005b59c5,636e33b40e86372d005b59c5,5,2017,62.4,102.6
636e33b40e86372d005b59c6,636e33b40e86372d005b59c6,6,2017,168.1,98.3
636e33b40e86372d005b59c7,636e33b40e86372d005b59c7,7,2017,289.3,96.8
636e33b40e86372d005b59c8,636e33b40e86372d005b59c8,8,2017,256.2,94.5
636e33b40e86372d005b59c9,636e33b40e86372d005b59c9,9,2017,171.5,98.4
636e33b40e86372d005b59ca,636e33b40e86372d005b59ca,10,2017,76.3,99.1
636e33b40e86372d005b59cb,636e33b40e86372d005b59cb,11,2017,29.9,99.2
636e33b40e86372d005b59cc,636e33b40e86372d005b59cc,12,2017,15,100.2
636e33b40e86372d005b59cd,636e33b40e86372d005b59cd,1,2018,19.2,99.8
636e33b40e86372d005b59ce,636e33b40e86372d005b59ce,2,2018,20.1,100.6
636e33b40e86372d005b59cf,636e33b40e86372d005b59cf,3,2018,27.1,104.4
636e33b40e86372d005b59d0,636e33b40e86372d005b59d0,4,2018,40.2,107.2
636e33b40e86372d005b59d1,636e33b40e86372d005b59d1,5,2018,62.7,98.9
636e33b40e86372d005b59d2,636e33b40e86372d005b59d2,6,2018,165,101.3
636e33b40e86372d005b59d3,636e33b40e86372d005b59d3,7,2018,286.3,104.8
636e33b40e86372d005b59d4,636e33b40e86372d005b59d4,8,2018,254.3,105.9
636e33b40e86372d005b59d5,636e33b40e86372d005b59d5,9,2018,171.9,111.4
636e33b40e86372d005b59d6,636e33b40e86372d005b59d6,10,2018,77.2,116.6
636e33b40e86372d005b59d7,636e33b40e86372d005b59d7,11,2018,28.1,117.5
636e33b40e86372d005b59d8,636e33b40e86372d005b59d8,12,2018,14.1,118.2
