,_id,Month,Year,Rainfall,WPI
636e34420e86372d005b5ad4,636e34420e86372d005b5ad4,4,2012,47.5,90.7
636e34420e86372d005b5ad5,636e34420e86372d005b5ad5,5,2012,31.7,90.8
636e34420e86372d005b5ad6,636e34420e86372d005b5ad6,6,2012,117.8,92.1
636e34420e86372d005b5ad7,636e34420e86372d005b5ad7,7,2012,250.2,97.9
636e34420e86372d005b5ad8,636e34420e86372d005b5ad8,8,2012,262.4,102.3
636e34420e86372d005b5ad9,636e34420e86372d005b5ad9,9,2012,193.5,102.3
636e34420e86372d005b5ada,636e34420e86372d005b5ada,10,2012,58.7,99.3
636e34420e86372d005b5adb,636e34420e86372d005b5adb,11,2012,30.7,97.5
636e34420e86372d005b5adc,636e34420e86372d005b5adc,12,2012,11.7,97.2
636e34420e86372d005b5add,636e34420e86372d005b5add,1,2013,11.3,96.5
636e34420e86372d005b5ade,636e34420e86372d005b5ade,2,2013,40.1,96.3
636e34420e86372d005b5adf,636e34420e86372d005b5adf,3,2013,15.7,96.5
636e34420e86372d005b5ae0,636e34420e86372d005b5ae0,4,2013,30.4,96.2
636e34420e86372d005b5ae1,636e34420e86372d005b5ae1,5,2013,57.8,96.3
636e34420e86372d005b5ae2,636e34420e86372d005b5ae2,6,2013,219.8,95.2
636e34420e86372d005b5ae3,636e34420e86372d005b5ae3,7,2013,310,96.6
636e34420e86372d005b5ae4,636e34420e86372d005b5ae4,8,2013,254.7,96.3
636e34420e86372d005b5ae5,636e34420e86372d005b5ae5,9,2013,152.7,97.1
636e34420e86372d005b5ae6,636e34420e86372d005b5ae6,10,2013,129.4,97.9
636e34420e86372d005b5ae7,636e34420e86372d005b5ae7,11,2013,14,103.1
636e34420e86372d005b5ae8,636e34420e86372d005b5ae8,12,2013,6.7,103.7
636e34420e86372d005b5ae9,636e34420e86372d005b5ae9,1,2014,19.2,105.7
636e34420e86372d005b5aea,636e34420e86372d005b5aea,2,2014,27.4,108.5
636e34420e86372d005b5aeb,636e34420e86372d005b5aeb,3,2014,36.1,108.3
636e34420e86372d005b5aec,636e34420e86372d005b5aec,4,2014,22.2,109.7
636e34420e86372d005b5aed,636e34420e86372d005b5aed,5,2014,72.9,115.1
636e34420e86372d005b5aee,636e34420e86372d005b5aee,6,2014,95.4,116.5
636e34420e86372d005b5aef,636e34420e86372d005b5aef,7,2014,261.2,122.3
636e34420e86372d005b5af0,636e34420e86372d005b5af0,8,2014,237.5,127
636e34420e86372d005b5af1,636e34420e86372d005b5af1,9,2014,188,128
636e34420e86372d005b5af2,636e34420e86372d005b5af2,10,2014,60.2,124.3
636e34420e86372d005b5af3,636e34420e86372d005b5af3,11,2014,14.4,124
636e34420e86372d005b5af4,636e34420e86372d005b5af4,12,2014,10.7,124.7
636e34420e86372d005b5af5,636e34420e86372d005b5af5,1,2015,17.4,131.6
636e34420e86372d005b5af6,636e34420e86372d005b5af6,2,2015,21,132.1
636e34420e86372d005b5af7,636e34420e86372d005b5af7,3,2015,62,133.7
636e34420e86372d005b5af8,636e34420e86372d005b5af8,4,2015,69.4,138.8
636e34420e86372d005b5af9,636e34420e86372d005b5af9,5,2015,53.8,149.7
636e34420e86372d005b5afa,636e34420e86372d005b5afa,6,2015,192.8,160.4
636e34420e86372d005b5afb,636e34420e86372d005b5afb,7,2015,242.4,162.8
636e34420e86372d005b5afc,636e34420e86372d005b5afc,8,2015,205.2,167.7
636e34420e86372d005b5afd,636e34420e86372d005b5afd,9,2015,131.8,171.8
636e34420e86372d005b5afe,636e34420e86372d005b5afe,10,2015,42.9,196.9
636e34420e86372d005b5aff,636e34420e86372d005b5aff,11,2015,39.4,204.7
636e34420e86372d005b5b00,636e34420e86372d005b5b00,12,2015,15,203.4
636e34420e86372d005b5b01,636e34420e86372d005b5b01,1,2016,19.3,206.1
636e34420e86372d005b5b02,636e34420e86372d005b5b02,2,2016,22.8,199.3
636e34420e86372d005b5b03,636e34420e86372d005b5b03,3,2016,27.6,198.2
636e34420e86372d005b5b04,636e34420e86372d005b5b04,4,2016,37.4,213
636e34420e86372d005b5b05,636e34420e86372d005b5b05,5,2016,62.6,231
636e34420e86372d005b5b06,636e34420e86372d005b5b06,6,2016,168.3,247.6
636e34420e86372d005b5b07,636e34420e86372d005b5b07,7,2016,289.1,243.7
636e34420e86372d005b5b08,636e34420e86372d005b5b08,8,2016,256.3,229.3
636e34420e86372d005b5b09,636e34420e86372d005b5b09,9,2016,171.9,211.6
636e34420e86372d005b5b0a,636e34420e86372d005b5b0a,10,2016,76.1,199
636e34420e86372d005b5b0b,636e34420e86372d005b5b0b,11,2016,29.7,188.4
636e34420e86372d005b5b0c,636e34420e86372d005b5b0c,12,2016,14.9,178.4
636e34420e86372d005b5b0d,636e34420e86372d005b5b0d,1,2017,19,167.6
636e34420e86372d005b5b0e,636e34420e86372d005b5b0e,2,2017,22.6,158.1
636e34420e86372d005b5b0f,636e34420e86372d005b5b0f,3,2017,27.8,151.1
636e34420e86372d005b5b10,636e34420e86372d005b5b10,4,2017,37.9,149.5
636e34420e86372d005b5b11,636e34420e86372d005b5b11,5,2017,62.4,145.7
636e34420e86372d005b5b12,636e34420e86372d005b5b12,6,2017,168.1,140.8
636e34420e86372d005b5b13,636e34420e86372d005b5b13,7,2017,289.3,134.1
636e34420e86372d005b5b14,636e34420e86372d005b5b14,8,2017,256.2,127.2
636e34420e86372d005b5b15,636e34420e86372d005b5b15,9,2017,171.5,129.1
636e34420e86372d005b5b16,636e34420e86372d005b5b16,10,2017,76.3,127.7
636e34420e86372d005b5b17,636e34420e86372d005b5b17,11,2017,29.9,123.7
636e34420e86372d005b5b18,636e34420e86372d005b5b18,12,2017,15,121
636e34420e86372d005b5b19,636e34420e86372d005b5b19,1,2018,19.2,114.8
636e34420e86372d005b5b1a,636e34420e86372d005b5b1a,2,2018,20.1,112.6
636e34420e86372d005b5b1b,636e34420e86372d005b5b1b,3,2018,27.1,112.1
636e34420e86372d005b5b1c,636e34420e86372d005b5b1c,4,2018,40.2,110.5
636e34420e86372d005b5b1d,636e34420e86372d005b5b1d,5,2018,62.7,108.4
636e34420e86372d005b5b1e,636e34420e86372d005b5b1e,6,2018,165,105.9
636e34420e86372d005b5b1f,636e34420e86372d005b5b1f,7,2018,286.3,106.9
636e34420e86372d005b5b20,636e34420e86372d005b5b20,8,2018,254.3,109.8
636e34420e86372d005b5b21,636e34420e86372d005b5b21,9,2018,171.9,107.6
636e34420e86372d005b5b22,636e34420e86372d005b5b22,10,2018,77.2,111
636e34420e86372d005b5b23,636e34420e86372d005b5b23,11,2018,28.1,118.6
636e34420e86372d005b5b24,636e34420e86372d005b5b24,12,2018,14.1,123.3
