,_id,Month,Year,Rainfall,WPI
636e34750e86372d005b5b27,636e34750e86372d005b5b27,4,2012,47.5,104.6
636e34750e86372d005b5b28,636e34750e86372d005b5b28,5,2012,31.7,105.4
636e34750e86372d005b5b29,636e34750e86372d005b5b29,6,2012,117.8,104.4
636e34750e86372d005b5b2a,636e34750e86372d005b5b2a,7,2012,250.2,105.8
636e34750e86372d005b5b2b,636e34750e86372d005b5b2b,8,2012,262.4,116
636e34750e86372d005b5b2c,636e34750e86372d005b5b2c,9,2012,193.5,119.4
636e34750e86372d005b5b2d,636e34750e86372d005b5b2d,10,2012,58.7,117.4
636e34750e86372d005b5b2e,636e34750e86372d005b5b2e,11,2012,30.7,120.7
636e34750e86372d005b5b2f,636e34750e86372d005b5b2f,12,2012,11.7,121.7
636e34750e86372d005b5b30,636e34750e86372d005b5b30,1,2013,11.3,121.6
636e34750e86372d005b5b31,636e34750e86372d005b5b31,2,2013,40.1,123.6
636e34750e86372d005b5b32,636e34750e86372d005b5b32,3,2013,15.7,122.8
636e34750e86372d005b5b33,636e34750e86372d005b5b33,4,2013,30.4,120.1
636e34750e86372d005b5b34,636e34750e86372d005b5b34,5,2013,57.8,118.9
636e34750e86372d005b5b35,636e34750e86372d005b5b35,6,2013,219.8,121.9
636e34750e86372d005b5b36,636e34750e86372d005b5b36,7,2013,310,122.3
636e34750e86372d005b5b37,636e34750e86372d005b5b37,8,2013,254.7,123.1
636e34750e86372d005b5b38,636e34750e86372d005b5b38,9,2013,152.7,124.6
636e34750e86372d005b5b39,636e34750e86372d005b5b39,10,2013,129.4,125.7
636e34750e86372d005b5b3a,636e34750e86372d005b5b3a,11,2013,14,127.6
636e34750e86372d005b5b3b,636e34750e86372d005b5b3b,12,2013,6.7,128.6
636e34750e86372d005b5b3c,636e34750e86372d005b5b3c,1,2014,19.2,130
636e34750e86372d005b5b3d,636e34750e86372d005b5b3d,2,2014,27.4,128.8
636e34750e86372d005b5b3e,636e34750e86372d005b5b3e,3,2014,36.1,127.5
636e34750e86372d005b5b3f,636e34750e86372d005b5b3f,4,2014,22.2,123.5
636e34750e86372d005b5b40,636e34750e86372d005b5b40,5,2014,72.9,120.9
636e34750e86372d005b5b41,636e34750e86372d005b5b41,6,2014,95.4,120.4
636e34750e86372d005b5b42,636e34750e86372d005b5b42,7,2014,261.2,121.9
636e34750e86372d005b5b43,636e34750e86372d005b5b43,8,2014,237.5,122.5
636e34750e86372d005b5b44,636e34750e86372d005b5b44,9,2014,188,121.8
636e34750e86372d005b5b45,636e34750e86372d005b5b45,10,2014,60.2,122.3
636e34750e86372d005b5b46,636e34750e86372d005b5b46,11,2014,14.4,123.7
636e34750e86372d005b5b47,636e34750e86372d005b5b47,12,2014,10.7,125.8
636e34750e86372d005b5b48,636e34750e86372d005b5b48,1,2015,17.4,126.3
636e34750e86372d005b5b49,636e34750e86372d005b5b49,2,2015,21,125.9
636e34750e86372d005b5b4a,636e34750e86372d005b5b4a,3,2015,62,125.9
636e34750e86372d005b5b4b,636e34750e86372d005b5b4b,4,2015,69.4,125.1
636e34750e86372d005b5b4c,636e34750e86372d005b5b4c,5,2015,53.8,124.1
636e34750e86372d005b5b4d,636e34750e86372d005b5b4d,6,2015,192.8,122.3
636e34750e86372d005b5b4e,636e34750e86372d005b5b4e,7,2015,242.4,124.8
636e34750e86372d005b5b4f,636e34750e86372d005b5b4f,8,2015,205.2,126.1
636e34750e86372d005b5b50,636e34750e86372d005b5b50,9,2015,131.8,126.2
636e34750e86372d005b5b51,636e34750e86372d005b5b51,10,2015,42.9,128.5
636e34750e86372d005b5b52,636e34750e86372d005b5b52,11,2015,39.4,129.9
636e34750e86372d005b5b53,636e34750e86372d005b5b53,12,2015,15,131.9
636e34750e86372d005b5b54,636e34750e86372d005b5b54,1,2016,19.3,134.1
636e34750e86372d005b5b55,636e34750e86372d005b5b55,2,2016,22.8,134.1
636e34750e86372d005b5b56,636e34750e86372d005b5b56,3,2016,27.6,134.1
636e34750e86372d005b5b57,636e34750e86372d005b5b57,4,2016,37.4,132.9
636e34750e86372d005b5b58,636e34750e86372d005b5b58,5,2016,62.6,134.5
636e34750e86372d005b5b59,636e34750e86372d005b5b59,6,2016,168.3,136.5
636e34750e86372d005b5b5a,636e34750e86372d005b5b5a,7,2016,289.1,137.9
636e34750e86372d005b5b5b,636e34750e86372d005b5b5b,8,2016,256.3,139.1
636e34750e86372d005b5b5c,636e34750e86372d005b5b5c,9,2016,171.9,140
636e34750e86372d005b5b5d,636e34750e86372d005b5b5d,10,2016,76.1,140.8
636e34750e86372d005b5b5e,636e34750e86372d005b5b5e,11,2016,29.7,147.9
636e34750e86372d005b5b5f,636e34750e86372d005b5b5f,12,2016,14.9,152.3
636e34750e86372d005b5b60,636e34750e86372d005b5b60,1,2017,19,151.3
636e34750e86372d005b5b61,636e34750e86372d005b5b61,2,2017,22.6,149.3
636e34750e86372d005b5b62,636e34750e86372d005b5b62,3,2017,27.8,142.9
636e34750e86372d005b5b63,636e34750e86372d005b5b63,4,2017,37.9,141
636e34750e86372d005b5b64,636e34750e86372d005b5b64,5,2017,62.4,137.5
636e34750e86372d005b5b65,636e34750e86372d005b5b65,6,2017,168.1,136.1
636e34750e86372d005b5b66,636e34750e86372d005b5b66,7,2017,289.3,136.3
636e34750e86372d005b5b67,636e34750e86372d005b5b67,8,2017,256.2,137.1
636e34750e86372d005b5b68,636e34750e86372d005b5b68,9,2017,171.5,137.6
636e34750e86372d005b5b69,636e34750e86372d005b5b69,10,2017,76.3,138
636e34750e86372d005b5b6a,636e34750e86372d005b5b6a,11,2017,29.9,139.4
636e34750e86372d005b5b6b,636e34750e86372d005b5b6b,12,2017,15,139.4
636e34750e86372d005b5b6c,636e34750e86372d005b5b6c,1,2018,19.2,140.8
636e34750e86372d005b5b6d,636e34750e86372d005b5b6d,2,2018,20.1,140
